form,rtol,N,a1,a2,omega1,omega2,phi1,phi2,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,29.8,59.6,1.5707963267948966,2.356194490192345,(4.36273096399869e-06+1.428078616496492e-05j),(6.369634194449553e-06-4.711839568610845e-11j),(-0.25856984462292804-0.631320508098129j),(-0.0020092306893486934+0.00573923141033476j),(-0.0019680242300261033-6.224656880723888e-11j),(-0.4920689781648268+0.3884796498313977j),(-0.011891531217437032+0.005202463503098897j),(0.014149924572984328-4.618674370480062e-11j),(-0.8380108090231433+0.36817946437497723j),(0.006375056147318911-0.0020301119122367317j),(-0.012198859398071749-4.419934581540688e-11j)
DS-p,1e-11,51,35.0,35.0,29.9,59.8,1.5707963267948966,2.356194490192345,(4.269528691283782e-06+1.4071213294187049e-05j),(6.310979242626913e-06-4.786083466191636e-11j),(-0.2618261712814547-0.6320803906834531j),(-0.0019602081132232517+0.005719073109636201j),(-0.0020007592185971035-6.362214884088805e-11j),(-0.49425732250121907+0.389097181288382j),(-0.011826163475362892+0.005152660010889305j),(0.014112353295042589-4.669652448152133e-11j),(-0.8390279394122481+0.36724173850510144j),(0.006336300050214391-0.002010685454679839j),(-0.012128360849568184-4.486673792244863e-11j)
DS-p,1e-11,51,35.0,35.0,30.0,60.0,1.5707963267948966,2.356194490192345,(4.178142003412582e-06+1.3865143543285822e-05j),(6.252889789004623e-06-4.7621687778569545e-11j),(-0.26506918238866567-0.6328156607983926j),(-0.0019118837950150465+0.005698700829026588j),(-0.0020329203372211613-6.360460796695804e-11j),(-0.496437213296957+0.3896981254698255j),(-0.01176125971204247+0.005103475880940572j),(0.014074771104030118-4.651870968176147e-11j),(-0.8400357244222154+0.36630755735477327j),(0.006297882233678024-0.0019915033481980463j),(-0.012058427925241186-4.4879211248934184e-11j)
DS-p,1e-11,51,35.0,35.0,30.1,60.2,1.5707963267948966,2.356194490192345,(4.088501672342305e-06+1.3662527888937646e-05j),(6.195352417602551e-06-4.684451916480119e-11j),(-0.2682987999556173-0.6335266908933274j),(-0.0018642492123782176+0.005678124848060817j),(-0.002064513626162936-6.27918598689258e-11j),(-0.49860858960873045+0.390282717987297j),(-0.011696816889245917+0.005054901788519792j),(0.014037178759600755-4.559304276920551e-11j),(-0.8410342753876029+0.3653769185411358j),(0.006259798972866043-0.0019725618177013227j),(-0.011989055250005709-4.422438408474348e-11j)
DS-p,1e-11,51,35.0,35.0,30.2,60.4,1.5707963267948966,2.356194490192345,(4.000546046591721e-06+1.3463337227240506e-05j),(6.1383839913657645e-06-4.725337802629604e-11j),(-0.2715149509349016-0.6342138485322079j),(-0.0018172959717148024+0.0056573552904669935j),(-0.002095545168241707-6.179808863143038e-11j),(-0.5007713938894461+0.3908511916933414j),(-0.011632831892212411+0.005006928603331787j),(0.0139995770672987-4.614589758980634e-11j),(-0.8420237020349082+0.3644498192332584j),(0.0062220465986982994-0.0019538571944401444j),(-0.011920237498957084-4.467511002880888e-11j)
DS-p,1e-11,51,35.0,35.0,30.3,60.6,1.5707963267948966,2.356194490192345,(3.914282701547762e-06+1.3267446685694042e-05j),(6.081940969401151e-06-4.687817709496462e-11j),(-0.27471756710764894-0.6348774964793622j),(-0.0017710156353941235+0.005636401725352964j),(-0.002126021057439233-6.141255974248592e-11j),(-0.5029255719130232+0.3914037767098709j),(-0.011569301727961962+0.004959547332537297j),(0.013961966892380197-4.569245715502564e-11j),(-0.8430041124502966+0.3635262561076757j),(0.006184621411903443-0.0019353857567331973j),(-0.011851969478797415-4.4025676556112104e-11j)
DS-p,1e-11,51,35.0,35.0,30.4,60.8,1.5707963267948966,2.356194490192345,(3.8296266623267464e-06+1.3074844968159315e-05j),(6.0260442305490325e-06-4.749139230909024e-11j),(-0.27790658493470954-0.6355179927010508j),(-0.001725399906929468+0.005615273693945402j),(-0.0021559474013774322-6.265210124653211e-11j),(-0.5050710726201971+0.3919407004233872j),(-0.011506223273489248+0.004912749144606394j),(0.01392434918643888-4.6109945687496054e-11j),(-0.8439756132706617+0.36260622545126214j),(0.006147519878117255-0.0019171439710302454j),(-0.011784245932239777-4.4576130892528635e-11j)
DS-p,1e-11,51,35.0,35.0,30.5,61.0,1.5707963267948966,2.356194490192345,(3.7466043641587628e-06+1.2885466395849698e-05j),(5.970709139452995e-06-4.829594519496717e-11j),(-0.2810819454312249-0.6361356904687658j),(-0.0016804404884222697+0.005593980334240783j),(-0.002185330331544796-6.28266955728052e-11j),(-0.5072078481157501+0.3924621875495403j),(-0.011443593439999832+0.004866525353979003j),(0.013886724936802354-4.689099757716929e-11j),(-0.844938309561785+0.36168972311345754j),(0.006110738462009841-0.0018991283054809608j),(-0.011717061703615778-4.4844129957356426e-11j)
DS-p,1e-11,51,35.0,35.0,30.6,61.2,1.5707963267948966,2.356194490192345,(3.6651867570810723e-06+1.26991901647131e-05j),(5.915886905700357e-06-4.8087203897600314e-11j),(-0.28424359398877797-0.636730938335079j),(-0.0016361291573144324+0.005572530472038257j),(-0.0022141759600988365-6.247414419348326e-11j),(-0.5093358535122776+0.39296846009259495j),(-0.011381409176409077+0.004820867436653484j),(0.01384909523937522-4.66582466582704e-11j),(-0.8458923048951992+0.36077674453431535j),(0.006074273623700888-0.0018813352588252273j),(-0.011650411731049616-4.4533133645505344e-11j)
DS-p,1e-11,51,35.0,35.0,30.7,61.4,1.5707963267948966,2.356194490192345,(3.5853368280458833e-06+1.2516055909760071e-05j),(5.861619590603884e-06-4.818499322822123e-11j),(-0.2873914802647453-0.6373040802392878j),(-0.0015924577423598665+0.005550932837696395j),(-0.0022424904435273244-6.218441700205841e-11j),(-0.5114550468665838+0.3934597373676203j),(-0.011319667347039146+0.004775766972198939j),(0.013811461157002443-4.673172164384376e-11j),(-0.8468377013934031+0.3598672847934616j),(0.006038121993086872-0.0018637615177749074j),(-0.011584290834422563-4.463727702177634e-11j)
DS-p,1e-11,51,35.0,35.0,30.8,61.6,1.5707963267948966,2.356194490192345,(3.5070415506845837e-06+1.233592835330746e-05j),(5.807857940760136e-06-4.7674239566535956e-11j),(-0.29052555803594515-0.6378554554825763j),(-0.0015494181692672915+0.0055291957412136935j),(-0.0022702798992956562-6.102059032975786e-11j),(-0.5135653890723335+0.3939362360337662j),(-0.011258364901945685+0.004731215746811935j),(0.013773823853050107-4.6200205005063665e-11j),(-0.8477745996930899+0.3589613385672367j),(0.006002280083471558-0.0018464036776655451j),(-0.011518694092217355-4.415655660359703e-11j)
DS-p,1e-11,51,35.0,35.0,30.9,61.8,1.5707963267948966,2.356194490192345,(3.430212124088056e-06+1.2158806435579733e-05j),(5.754626332649115e-06-4.8584468196768434e-11j),(-0.2936457850971945-0.6383853988258048j),(-0.0015070024266734712+0.005507327393491258j),(-0.0022975504548151133-6.223866776326046e-11j),(-0.5156668437967207+0.3943981701062828j),(-0.011197498738654454+0.004687205634368419j),(0.013736184529137455-4.696838984713387e-11j),(-0.848703099012166+0.3580589001701828j),(0.005966744572670041-0.0018292585269234054j),(-0.01145361649329537-4.4763160953861996e-11j)
DS-p,1e-11,51,35.0,35.0,31.0,62.0,1.5707963267948966,2.356194490192345,(3.3549092641762222e-06+1.1984594399410808e-05j),(5.70191679665627e-06-4.787656208469087e-11j),(-0.29675212311019145-0.6388942405065571j),(-0.0014652025186412919+0.005485335608507565j),(-0.0023243082359777796-6.13390975011525e-11j),(-0.517759377389188+0.39484575097537256j),(-0.011137065764908964+0.004643728679299873j),(0.01369854441706024-4.6174456466833054e-11j),(-0.849623297181074+0.3571599635801094j),(0.005931512139116071-0.001812322797436346j),(-0.011389053131313422-4.448202384485661e-11j)
DS-p,1e-11,51,35.0,35.0,31.1,62.2,1.5707963267948966,2.356194490192345,(3.2810302256218622e-06+1.1813270200933517e-05j),(5.649720687308374e-06-4.8223666424692006e-11j),(-0.29984453747685935-0.639382306283983j),(-0.001424010600659508+0.005463228144156963j),(-0.0023505593456365553-6.121785171144607e-11j),(-0.5198429587983727+0.39527918740821316j),(-0.011077062886865887+0.004600777053568069j),(0.013660904778694263-4.651975546479072e-11j),(-0.8505352906403283+0.3562645224448477j),(0.005896579474480194-0.0017955933848931935j),(-0.011324999137095976-4.4791168150386434e-11j)
DS-p,1e-11,51,35.0,35.0,31.2,62.4,1.5707963267948966,2.356194490192345,(3.20859992600361e-06+1.1644761278248664e-05j),(5.5980392944764146e-06-4.8149056862385634e-11j),(-0.30292299725398425-0.6398499175000574j),(-0.0013834188113683726+0.005441012361996832j),(-0.0023763098788046827-6.093995234385538e-11j),(-0.5219175595004439+0.39569868558763993j),(-0.011017487041997273+0.004558343044777372j),(0.013623266928654044-4.6396763675016185e-11j),(-0.8514391744729566+0.3553725700816429j),(0.005861943365543909-0.0017790671507033886j),(-0.01126144967867089-4.468509536220649e-11j)
DS-p,1e-11,51,35.0,35.0,31.3,62.6,1.5707963267948966,2.356194490192345,(3.1375864637406964e-06+1.1479013416768134e-05j),(5.546860645008755e-06-4.779499317318676e-11j),(-0.30598747500490475-0.6402973911133413j),(-0.0013434194134099055+0.005418695506781484j),(-0.0024015659165049596-6.031883836155786e-11j),(-0.5239831534261562+0.3961044491148337j),(-0.010958335137551725+0.004516419097166698j),(0.01358563216426733-4.612258122269678e-11j),(-0.8523350424407501+0.3544840995076799j),(0.005827600600148558-0.001762741055331047j),(-0.011198399985371706-4.449304196140901e-11j)
DS-p,1e-11,51,35.0,35.0,31.4,62.8,1.5707963267948966,2.356194490192345,(3.067905720807642e-06+1.131601183633783e-05j),(5.496185275080667e-06-4.8987769917589536e-11j),(-0.3090379467042736-0.6407250397556364j),(-0.0013040047249859125+0.005396284596945853j),(-0.0024263335019687033-6.245030156540733e-11j),(-0.5260397168756377+0.3964966790330091j),(-0.01089960411825533+0.00447499774140155j),(0.013548001899698896-4.710539125881389e-11j),(-0.8532229869621379+0.353599103436511j),(0.005793548037805695-0.0017466121423972544j),(-0.011135845297725142-4.517285208769729e-11j)
DS-p,1e-11,51,35.0,35.0,31.5,63.0,1.5707963267948966,2.356194490192345,(2.9996295058084318e-06+1.1155660358482412e-05j),(5.446005348935801e-06-4.854771959653258e-11j),(-0.3120743916277092-0.6411331717330137j),(-0.0012651671174841658+0.005373786383834244j),(-0.00245061869452796-6.093105913295118e-11j),(-0.5280872284436172+0.3968755738634119j),(-0.010841290873319262+0.0044340716925577j),(0.013510377463650705-4.673735155740654e-11j),(-0.8541030991783573+0.3527175742895177j),(0.005759782573299082-0.0017306774256549157j),(-0.011073780930656307-4.500090301707867e-11j)
DS-p,1e-11,51,35.0,35.0,31.6,63.2,1.5707963267948966,2.356194490192345,(2.932630862268002e-06+1.0997952375149667e-05j),(5.396316618437591e-06-4.9959001363102484e-11j),(-0.3150967922403752-0.6415220911448566j),(-0.001226899099041858+0.005351207530546596j),(-0.0024744274873851353-6.171266173512631e-11j),(-0.5301256689697427+0.3972413296051301j),(-0.010783392371492116+0.004393633751939086j),(0.013472760267686401-4.81609623362898e-11j),(-0.8549754689693935+0.3518395042305352j),(0.0057263010722810245-0.0017149340655769488j),(-0.011012202280776595-4.5721633019691155e-11j)
DS-p,1e-11,51,35.0,35.0,31.7,63.4,1.5707963267948966,2.356194490192345,(2.866980522256077e-06+1.0842797753980987e-05j),(5.347117832708165e-06-4.963480764454175e-11j),(-0.318105134115781-0.6418920978768733j),(-0.0011891931328539447+0.0053285543031956675j),(-0.002497765866445293-6.131096049943554e-11j),(-0.5321550214551987+0.39759413976138763j),(-0.010725905564460993+0.004353676827958258j),(0.013435151752527151-4.773145481373166e-11j),(-0.8558401849611806+0.35096488514204754j),(0.005693100556411895-0.0016993791751193288j),(-0.010951104722548795-4.555293392368569e-11j)
DS-p,1e-11,51,35.0,35.0,31.8,63.6,1.5707963267948966,2.356194490192345,(2.8025934705037427e-06+1.0690187891485622e-05j),(5.2984038108536136e-06-4.9706597537903884e-11j),(-0.32109940579663965-0.6422434876769586j),(-0.0011520418627828863+0.005305832979047862j),(-0.00252063977750531-6.218082092399149e-11j),(-0.5341752710062895+0.39793419536797464j),(-0.010668827392407307+0.004314193968693744j),(0.013397553352702221-4.757209348794033e-11j),(-0.8566973345187957+0.35009370865522654j),(0.005660178005603082-0.001684010014378289j),(-0.010890483699439228-4.5619746569569824e-11j)
DS-p,1e-11,51,35.0,35.0,31.9,63.8,1.5707963267948966,2.356194490192345,(2.7394648291609227e-06+1.0540052982643735e-05j),(5.2501665256908525e-06-4.9992894684197083e-11j),(-0.3240795987326122-0.6425765521538743j),(-0.001115437986709749+0.005283049575368241j),(-0.002543055166347901-6.162586072401749e-11j),(-0.5361864047372938+0.39826168500942405j),(-0.010612154796538398+0.004275178361420436j),(0.013359966505588433-4.792097755430755e-11j),(-0.8575470038246745+0.349225966165691j),(0.0056275304448571185-0.0016688238322025116j),(-0.010830334724485781-4.570814157160517e-11j)
DS-p,1e-11,51,35.0,35.0,32.0,64.0,1.5707963267948966,2.356194490192345,(2.6776109425627904e-06+1.0392342047949553e-05j),(5.202422514040406e-06-4.914098797487148e-11j),(-0.32704570715576137-0.642891578876511j),(-0.0010793742197146815+0.0052602098315072884j),(-0.0025650179063051305-6.056546658442993e-11j),(-0.5381884117530795+0.398576794835726j),(-0.01055588478386826+0.004236623255105915j),(0.013322392674709568-4.7027085858056915e-11j),(-0.8583892778653613+0.3483616488340175j),(0.0055951549773629525-0.0016538179110242796j),(-0.010770653339041321-4.483136179146961e-11j)
DS-p,1e-11,51,35.0,35.0,32.1,64.2,1.5707963267948966,2.356194490192345,(2.6169355036645414e-06+1.0247036987734177e-05j),(5.1551313027774215e-06-4.928136391326369e-11j),(-0.32999772801501726-0.6431888514014885j),(-0.001043843434850776+0.005237319490595409j),(-0.0025865338702198777-6.047817440392347e-11j),(-0.5401812830577959+0.3988797085840554j),(-0.010500014312639644+0.004198522058857526j),(0.01328483331997337-4.71429230900775e-11j),(-0.859224240449874+0.3475007475941826j),(0.005563048672780669-0.0016389896549944116j),(-0.010711435112234324-4.480425710238657e-11j)
DS-p,1e-11,51,35.0,35.0,32.2,64.4,1.5707963267948966,2.356194490192345,(2.5574526482492147e-06+1.0104083657939446e-05j),(5.108314348922088e-06-4.940041893301662e-11j),(-0.33293566088299253-0.6434686493117607j),(-0.0010088385171470315+0.0052143839832379055j),(-0.002607608865233748-6.021899714443399e-11j),(-0.5421650115047135+0.3991706076210126j),(-0.010444540373983893+0.004160868259750167j),(0.01324728992214233-4.7269003385466755e-11j),(-0.8600519742407281+0.34664325316404515j),(0.005531208708655739-0.0016243364529274053j),(-0.010652675677539684-4.476665472658581e-11j)
DS-p,1e-11,51,35.0,35.0,32.3,64.6,1.5707963267948966,2.356194490192345,(2.4991520220685355e-06+9.963435479552144e-06j),(5.061960065340376e-06-4.8975362302493636e-11j),(-0.3358595078414207-0.6437312482700751j),(-0.0009743524386553216+0.0051914085997147325j),(-0.002628248675720202-6.001307480609558e-11j),(-0.5441395917324275+0.399449670927607j),(-0.01038945997870412+0.004123655458721429j),(0.01320976399038247-4.689835447769257e-11j),(-0.8608725607379202+0.3457891560577341j),(0.005499632265456286-0.0016098557519734977j),(-0.010594370698054946-4.409563158733148e-11j)
DS-p,1e-11,51,35.0,35.0,32.4,64.8,1.5707963267948966,2.356194490192345,(2.441951060303156e-06+9.825076083780533e-06j),(5.016070173502474e-06-4.96334938314622e-11j),(-0.3387692734337742-0.6439769200667792j),(-0.0009403782943995277+0.005168398534061893j),(-0.0026484590524903893-6.016584619980648e-11j),(-0.5461050201270073+0.3997170751726772j),(-0.010334770120283485+0.0040868773941111665j),(0.013172256990711242-4.75184014809967e-11j),(-0.8616860803731081+0.3449384465961379j),(0.005468316535516365-0.001595545065302655j),(-0.010536515914866595-4.4658746047700996e-11j)
DS-p,1e-11,51,35.0,35.0,32.5,65.0,1.5707963267948966,2.356194490192345,(2.3858877083774398e-06+9.68894174018485e-06j),(4.970629060113002e-06-5.010172884179662e-11j),(-0.34166496456501094-0.6442059326601604j),(-0.0009069091573503663+0.005145358684561377j),(-0.002668245685137015-6.080185932076276e-11j),(-0.5480612947327375+0.39997299467974456j),(-0.010280467856500164+0.004050527842629244j),(0.013134770413357887-4.7836321441617656e-11j),(-0.8624926124142556+0.34409111489597255j),(0.00543725880547671-0.0015814018954707805j),(-0.010479107053724061-4.48962409277974e-11j)
DS-p,1e-11,51,35.0,35.0,32.6,65.2,1.5707963267948966,2.356194490192345,(2.3309589213976224e-06+9.554976778853707e-06j),(4.925647437658415e-06-4.97788257339129e-11j),(-0.3445465904203906-0.6444185502190533j),(-0.0008739382525514289+0.0051222938807729095j),(-0.002687614256962481-6.025505615426115e-11j),(-0.5500084152269509+0.40021760150504376j),(-0.010226550206359783+0.004014600746981985j),(0.013097305733740523-4.7490298849878746e-11j),(-0.863292235108763+0.34324715091056035j),(0.005406456353769828-0.001567423817446947j),(-0.010422139939841174-4.453128222874867e-11j)
DS-p,1e-11,51,35.0,35.0,32.7,65.4,1.5707963267948966,2.356194490192345,(2.277103642065381e-06+9.423155551598669e-06j),(4.881102283992023e-06-4.955316955666979e-11j),(-0.34741416238850753-0.6446150331860517j),(-0.0008414588680432239+0.0050992088195889115j),(-0.002706570376524059-5.994200967174087e-11j),(-0.5519463828564314+0.4004510654131626j),(-0.010173014222162569+0.003979090121379819j),(0.013059864448916547-4.7236336416655354e-11j),(-0.8640850256059516+0.3424065444151493j),(0.00537590649302053-0.0015536084695692122j),(-0.010365610405996387-4.431204813149705e-11j)
DS-p,1e-11,51,35.0,35.0,32.8,65.6,1.5707963267948966,2.356194490192345,(2.224294128174613e-06+9.293462876950806e-06j),(4.836999234834882e-06-4.955799748538449e-11j),(-0.3502676939853435-0.6447956382937384j),(-0.00080946436389151+0.005076108042067349j),(-0.0027251196089902634-5.952563240661478e-11j),(-0.5538752003809083+0.4006735539222038j),(-0.010119856955344205+0.003943990084660412j),(0.01302244808119031-4.718542636609328e-11j),(-0.8648710600036461+0.34156928501153033j),(0.005345606577297183-0.001539953529520949j),(-0.010309514328872123-4.447008709502246e-11j)
DS-p,1e-11,51,35.0,35.0,32.9,65.8,1.5707963267948966,2.356194490192345,(2.172512428732197e-06+9.165842250260636e-06j),(4.793341498478265e-06-5.025563198948866e-11j),(-0.35310720077421526-0.6449606186381472j),(-0.0007779481864660966+0.0050529959233204195j),(-0.0027432675055934037-5.954422727322947e-11j),(-0.555794872038036+0.4008852323306655j),(-0.01006707549535046+0.003909294857231775j),(0.012985058080988744-4.790995171958146e-11j),(-0.8656504133750652+0.340735362155578j),(0.005315553985436825-0.0015264566865851531j),(-0.010253847663773893-4.50468103315902e-11j)
DS-p,1e-11,51,35.0,35.0,33.0,66.0,1.5707963267948966,2.356194490192345,(2.121798484422139e-06+9.040231022488555e-06j),(4.750115915913566e-06-4.950220372607913e-11j),(-0.3559327003191632-0.6451102237042409j),(-0.0007469037841299625+0.0050298766023956065j),(-0.002761019541068907-5.892701358728066e-11j),(-0.5577054034773808+0.4010862637257865j),(-0.010014666961317881+0.0038749987206965946j),(0.012947695911223224-4.7088886813416585e-11j),(-0.8664231597647376+0.33990476513630513j),(0.005285746162143412-0.0015131156368245607j),(-0.010198606358637466-4.45452629477747e-11j)
DS-p,1e-11,51,35.0,35.0,33.1,66.2,1.5707963267948966,2.356194490192345,(2.0720464150346743e-06+8.916643892622252e-06j),(4.707325315985583e-06-5.010184047188058e-11j),(-0.3587442120766057-0.645244699408527j),(-0.0007163248021428911+0.005006754311854499j),(-0.0027783811510974166-5.950754989349297e-11j),(-0.5596068017169673+0.4012768090181701j),(-0.009962628424907869+0.003841096099233781j),(0.01291036308043314-4.762371390149674e-11j),(-0.8671893721842482+0.33907748309344654j),(0.005256180531193932-0.0014999282249376616j),(-0.010143786430895682-4.5050195928412486e-11j)
DS-p,1e-11,51,35.0,35.0,33.2,66.4,1.5707963267948966,2.356194490192345,(2.023296407238466e-06+8.795013829290821e-06j),(4.664945781777258e-06-5.052288484004783e-11j),(-0.3615417573845055-0.6453642882021698j),(-0.0006862048530672481+0.004983632947806899j),(-0.0027953577304097015-5.969246452245306e-11j),(-0.5614990751495258+0.40145702698011143j),(-0.009910957026455891+0.003807581471967859j),(0.01287306103463446-4.802209477189465e-11j),(-0.8679491228069482+0.3382535050842437j),(0.005226854588569894-0.0014868922199412025j),(-0.010089383910895575-4.5114429461099545e-11j)
DS-p,1e-11,51,35.0,35.0,33.3,66.6,1.5707963267948966,2.356194490192345,(1.975537533525267e-06+8.675286801244735e-06j),(4.6230019248895415e-06-4.987089844634727e-11j),(-0.36432535933577476-0.6454692290314089j),(-0.0006565376808815339+0.004960516337683131j),(-0.002811954634897525-5.937030206853019e-11j),(-0.5633822334077322+0.4016270742481545j),(-0.009859649899560768+0.003774449432825186j),(0.012835791223500773-4.740380122504898e-11j),(-0.8687024826984292+0.3374328199789352j),(0.0051977658528935405-0.0014740054748992306j),(-0.010035394924054364-4.475654303276332e-11j)
DS-p,1e-11,51,35.0,35.0,33.4,66.8,1.5707963267948966,2.356194490192345,(1.928700996308959e-06+8.55747644972274e-06j),(4.5814776171472504e-06-4.979120308798242e-11j),(-0.3670950427397404-0.64555975740645j),(-0.0006273170951187589+0.004937408244311962j),(-0.002828177139305335-5.905053694376803e-11j),(-0.5652562873636049+0.4017871053301703j),(-0.009808704187415019+0.0037416946472346624j),(0.012798555118477134-4.727251389435395e-11j),(-0.8694495219930106+0.33661541653450155j),(0.005168911855467017-0.0014612659141024038j),(-0.009981815575469816-4.4811901894559543e-11j)
DS-p,1e-11,51,35.0,35.0,33.5,67.0,1.5707963267948966,2.356194490192345,(1.8827987066621487e-06+8.441526609174327e-06j),(4.540365579997624e-06-4.9887269397078084e-11j),(-0.3698508340833808-0.6456361054863042j),(-0.0005985369626364048+0.004914312240734986j),(-0.002844030499263181-5.89740292356818e-11j),(-0.5671212491183832+0.4019372726745838j),(-0.00975811706781336+0.003709311861204614j),(0.012761354157508432-4.7344543133355945e-11j),(-0.8701903099199046+0.33580128340448107j),(0.005140290192203866-0.0014486714447025859j),(-0.009928642021741256-4.4758777052737935e-11j)
DS-p,1e-11,51,35.0,35.0,33.6,67.2,1.5707963267948966,2.356194490192345,(1.8378018280954325e-06+8.327392188748738e-06j),(4.4996517121198565e-06-4.957071939268662e-11j),(-0.3725927614302813-0.6456985020791j),(-0.0005701912467241041+0.004891231808882131j),(-0.0028595199062808065-5.845076075843331e-11j),(-0.5689771319107636+0.40207772665685426j),(-0.009707885718876952+0.003677295938715839j),(0.012724189762585929-4.7006357404259416e-11j),(-0.8709249147741365+0.3349904091218466j),(0.005111898413657929-0.0014362200086478092j),(-0.009875870526616336-4.459488350315179e-11j)
DS-p,1e-11,51,35.0,35.0,33.7,67.4,1.5707963267948966,2.356194490192345,(1.793700301862657e-06+8.215065758309607e-06j),(4.4593599847174425e-06-4.9851713749752185e-11j),(-0.37532085435925433-0.6457471726604836j),(-0.0005422739602644611+0.004868170298935529j),(-0.0028746505067651163-5.84878340470297e-11j),(-0.5708239500739838+0.40220861558393173j),(-0.00965800734734384+0.003645641776721064j),(0.012687063357509354-4.7285519415078085e-11j),(-0.8716534038879993+0.33418278209806734j),(0.005083734219794571-0.0014239096223548527j),(-0.009823497283112423-4.467267921217163e-11j)
DS-p,1e-11,51,35.0,35.0,33.8,67.6,1.5707963267948966,2.356194490192345,(1.7504616912898154e-06+8.104497930739706e-06j),(4.4194481111370365e-06-5.0161815413610526e-11j),(-0.3780351439643408-0.6457823395111624j),(-0.0005147792085075757+0.004845130959185135j),(-0.0028894274087546998-5.896244718435185e-11j),(-0.5726617190585959+0.4023300857881231j),(-0.009608479177625535+0.0036143444026965474j),(0.012649976328661362-4.75495963712608e-11j),(-0.8723758437638915+0.3333783906652134j),(0.005055795215060754-0.001411738296744393j),(-0.009771518607813452-4.4767643320293995e-11j)
DS-p,1e-11,51,35.0,35.0,33.9,67.8,1.5707963267948966,2.356194490192345,(1.7081128168524359e-06+7.995653157518746e-06j),(4.379956882110542e-06-4.9955026804255236e-11j),(-0.380735662753685-0.6458042216744427j),(-0.00048770115445791185+0.004822116915620445j),(-0.0029038556516682887-5.902910165187728e-11j),(-0.5744904553439207+0.40244228160723194j),(-0.00955929842873083+0.0035833988974832104j),(0.01261293006730737-4.743572610399553e-11j),(-0.8730923000131118+0.3325772230593067j),(0.005028079135387872-0.0013997040875664817j),(-0.009719930822144111-4.4654214778752585e-11j)
DS-p,1e-11,51,35.0,35.0,34.0,68.0,1.5707963267948966,2.356194490192345,(1.6665978154663946e-06+7.88852403184933e-06j),(4.340851977608501e-06-4.979494724574411e-11j),(-0.38342244461145153-0.6458130350453688j),(-0.000461034021082201+0.004799131198296331j),(-0.002917940216038863-5.871606253930949e-11j),(-0.5763101764235115+0.4025453453987463j),(-0.009510462360554427+0.0035528004082411645j),(0.01257592597667978-4.724909610384685e-11j),(-0.8738028373387906+0.3317792674038748j),(0.00500058368929638-0.0013878051027098846j),(-0.009668730260931374-4.405506118341361e-11j)
DS-p,1e-11,51,35.0,35.0,34.1,68.2,1.5707963267948966,2.356194490192345,(1.625900016885562e-06+7.783118505964946e-06j),(4.302170964136376e-06-5.0974505305859146e-11j),(-0.3860955247259313-0.6458089923580868j),(-0.0004347721436619191+0.004776176818140847j),(-0.002931686058002727-5.910440949299537e-11j),(-0.5781209007201079+0.40263941757134014j),(-0.009461968199059265+0.003522544186493507j),(0.012538965418697208-4.837495951679215e-11j),(-0.8745075196515076+0.33098451176365307j),(0.004973306664966487-0.0013760395003552467j),(-0.009617913295061786-4.483937934824033e-11j)
DS-p,1e-11,51,35.0,35.0,34.2,68.4,1.5707963267948966,2.356194490192345,(1.5860308425299542e-06+7.679295952082738e-06j),(4.263845512598313e-06-5.076077536967852e-11j),(-0.38875493955173174-0.645792303287863j),(-0.00040890989968052+0.004753256456392005j),(-0.0029450980699053516-5.875923088962742e-11j),(-0.5799226476277364+0.40272463661052454j),(-0.009413813306343624+0.0034926255743791346j),(0.012502049724092613-4.817132659028318e-11j),(-0.8752064099601731+0.33019294410961314j),(0.004946245739670485-0.0013644053362238395j),(-0.009567476474201607-4.4501389305266587e-11j)
DS-p,1e-11,51,35.0,35.0,34.3,68.6,1.5707963267948966,2.356194490192345,(1.5469315813767658e-06+7.577102022071278e-06j),(4.225900876560912e-06-5.108706498253067e-11j),(-0.3914007267798512-0.6457631744679745j),(-0.0003834417592909131+0.004730372950831006j),(-0.002958181091041281-5.887608113981918e-11j),(-0.5817154374343311+0.40280113911636817j),(-0.009365994936103975+0.0034630399608303643j),(0.012465180211057185-4.849006342421403e-11j),(-0.8758995704824003+0.32940455233952065j),(0.004919398750659323-0.0013529008682624279j),(-0.009517416213232217-4.4796744469451303e-11j)
DS-p,1e-11,51,35.0,35.0,34.4,68.8,1.5707963267948966,2.356194490192345,(1.5086417678026372e-06+7.476475272385e-06j),(4.188333600257249e-06-5.064040499446784e-11j),(-0.39403292525082784-0.645721809516263j),(-0.00035836220678549247+0.004707528854327028j),(-0.002970939906876773-5.847884249831631e-11j),(-0.5834992912851694+0.402869059793757j),(-0.009318510432262249+0.0034337827927971186j),(0.012428358229494223-4.802483608753206e-11j),(-0.8765870625998535+0.32861932427776946j),(0.004892763545511953-0.0013415242640848904j),(-0.009467729022818158-4.4450937718764024e-11j)
