form,rtol,a1,a2,omega1,omega2,phi,N,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1.0000000000000001e-11,35.0,35.0,16.9,33.8,1.5707963267948966,51,(-3.3609184998863867e-10+4.821002234575711e-11j),(7.052905635007104e-11-2.818111747437688e-11j),(0.09103543331641734-0.15568420608128003j),(-9.011969970187245e-10-7.144623787990606e-10j),(-3.4118889571249644e-11-1.4907996002655355e-10j),(-0.34804611677327774-0.06189541025685013j),(-2.4956991508118254e-10-1.9239470086529487e-10j),(-9.947969531465262e-11-7.434364455713336e-11j),(-0.37992187415229245+0.6451669037701956j),(-2.4741761070479207e-10-2.996840831048786e-10j),(6.608900926519112e-11-4.581995442572816e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.0,34.0,1.5707963267948966,51,(-3.3602273741273336e-10+7.433193730671528e-11j),(7.065628725817178e-11-2.85611752313583e-11j),(0.09241646419016492-0.16289748591695616j),(-9.15365515156974e-10-6.77883202262336e-10j),(-3.47208078260719e-11-1.48416867399586e-10j),(-0.347512691294777-0.05686377907582723j),(-2.4443549614949767e-10-1.8334881703163664e-10j),(-1.1290744034164746e-10-7.327951224398789e-11j),(-0.38533606000026654+0.6451611476485047j),(-2.4192267633615927e-10-3.1226082830571045e-10j),(8.084166669419801e-11-4.605254557946258e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.1,34.2,1.5707963267948966,51,(-3.3525841000928147e-10+7.335380523484925e-11j),(7.158130655598484e-11-2.9091410544096378e-11j),(0.09362829679258741-0.17009352197026134j),(-9.263856036445528e-10-6.489975432066863e-10j),(-3.465683772949091e-11-1.4657556443204103e-10j),(-0.34707226451428946-0.051851446251154315j),(-2.367642193412678e-10-1.756256182150473e-10j),(-1.13593905115561e-10-7.190974338086335e-11j),(-0.3906942268078343+0.6451044527959618j),(-2.409301924632956e-10-3.1338850264850393e-10j),(7.986213079735904e-11-4.570987450974841e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.2,34.4,1.5707963267948966,51,(-3.168106427154857e-10+9.426260618415616e-11j),(7.280123902266185e-11-2.946547582416878e-11j),(0.09467467316545244-0.17726837190500289j),(-9.321926559661964e-10-6.1469884369246e-10j),(-3.119548109414838e-11-1.461459753145989e-10j),(-0.34672279101221265-0.0468605777630216j),(-2.3232984112941946e-10-1.716583732797039e-10j),(-1.0531846228456487e-10-7.097312358613433e-11j),(-0.39599668565352103+0.6449984998315252j),(-2.482985692053852e-10-3.151331140482938e-10j),(7.843481419911313e-11-4.592680750272829e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.3,34.6,1.5707963267948966,51,(-3.1720678481898107e-10+9.557355688111224e-11j),(7.448188883685779e-11-2.982668974460053e-11j),(0.09555933308977889-0.18441830719828714j),(-9.404641477476355e-10-5.906362347991856e-10j),(-3.1410418103311466e-11-1.438581562246853e-10j),(-0.34646222307192454-0.041893216259112555j),(-2.209732709312906e-10-1.6434945591947692e-10j),(-1.0308570663752903e-10-6.965077274615563e-11j),(-0.4012437675898607+0.6448449202167448j),(-2.5014683727175857e-10-3.1557129825943164e-10j),(7.566033910499925e-11-4.555840402484163e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.4,34.8,1.5707963267948966,51,(-3.1821095021131174e-10+9.354525769451894e-11j),(7.691563000660623e-11-3.028480478469375e-11j),(0.09628600819735895-0.19153980507646517j),(-9.443283884892628e-10-5.645177784431576e-10j),(-3.071414910599257e-11-1.4288494234024342e-10j),(-0.34628851413332884-0.036951285754587934j),(-2.1705591490839282e-10-1.5695744357002717e-10j),(-1.0395215938041602e-10-6.854836925388216e-11j),(-0.4064358220011958+0.6446452975138253j),(-2.5083121343860704e-10-3.115084509786037e-10j),(7.028000403863643e-11-4.543263792090048e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.5,35.0,1.5707963267948966,51,(-3.1430802556985105e-10+1.0698042560326748e-10j),(7.732305261029006e-11-3.057187791016544e-11j),(0.09685841668982809-0.19862954076352143j),(-9.53094569195942e-10-5.322634624715938e-10j),(-2.5274927983875983e-11-1.4135366811225141e-10j),(-0.3461996220788559-0.03203659621347225j),(-2.1080835167774925e-10-1.5266457716045512e-10j),(-9.561416242087617e-11-6.755904429781068e-11j),(-0.41157321517502843+0.6444011687187823j),(-2.601613854902318e-10-3.0804797601646783e-10j),(6.443885702811514e-11-4.542919530704164e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.6,35.2,1.5707963267948966,51,(-3.1857112607613924e-10+1.0167618223061448e-10j),(7.457022681094626e-11-3.098234600311031e-11j),(0.09728025838624521-0.20568437979902188j),(-9.649272010754661e-10-5.080442746184521e-10j),(-2.1631109663883263e-11-1.4103089690504938e-10j),(-0.34619351210261384-0.027150848035558322j),(-2.0386696497620704e-10-1.4582321808398468e-10j),(-9.494210279070714e-11-6.684704413486701e-11j),(-0.4166563288691809+0.644114025505137j),(-2.5562980204840713e-10-3.0490555913420536e-10j),(6.54306470115884e-11-4.533504102325989e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.7,35.4,1.5707963267948966,51,(-3.1322120981960855e-10+1.0509768294357513e-10j),(7.641200459916966e-11-3.094717928727426e-11j),(0.0975552102766001-0.21270137070237066j),(-9.57207646045538e-10-4.747830440431089e-10j),(-2.222680893504414e-11-1.3786560730229154e-10j),(-0.346268159441322-0.022295636359690594j),(-1.9709325491112928e-10-1.3832927164836306e-10j),(-9.55428167137562e-11-6.513169883201517e-11j),(-0.4216855589389545+0.643785315425156j),(-2.530763237862388e-10-3.0075188173217526e-10j),(6.264641583264563e-11-4.486662792004679e-11j)
DS-p,1.0000000000000001e-11,35.0,35.0,17.8,35.6,1.5707963267948966,51,(-3.0718538899642683e-10+1.1045998989621386e-10j),(7.807924651877934e-11-3.097382195936513e-11j),(0.09768692249697836-0.21967773773053412j),(-9.531147884822566e-10-4.4523828244061314e-10j),(-2.5498676954616162e-11-1.3469848240993303e-10j),(-0.34642155184324885-0.0174724553312971j),(-1.8996718434416415e-10-1.307580987930379e-10j),(-9.850595339422341e-11-6.366551063692273e-11j),(-0.4266613141405361+0.6434164431466276j),(-2.5300089454005636e-10-3.0714535775855367e-10j),(6.508307781594169e-11-4.4433330466741125e-11j)
