form,rtol,a,omega,phi,N,hopping,onsite,next onsite,NNN,NNN overtop
SS-p,1e-11,35.0,3.7,0.4487989505128276,51,(-0.11132428646124738+0.1476583894410698j),(0.045139882536371606-2.3058938663079612e-10j),(-0.020990738020361256-2.0500961127222164e-11j),(0.027104370099140875-0.041945355269576344j),(-0.020990738020172057-1.5963011386867373e-11j)
SS-p,1e-11,35.0,3.8,0.4487989505128276,51,(-0.10465972728062493+0.10387769475508679j),(0.04560486808881334-2.51191438783323e-10j),(-0.020353932262603652-2.1857215312846985e-11j),(0.04529125611812255-0.06115140005797369j),(-0.020353932288961075+4.727374301210952e-10j)
SS-p,1e-11,35.0,3.9,0.4487989505128276,51,(-0.07956758742580877+0.05741137035870574j),(0.03343102027776585-2.8149838797726777e-10j),(-0.011841332086736146-2.2832407551658267e-11j),(0.05910046792093946-0.07018690828165479j),(-0.011841332087840804-2.011982080340109e-11j)
SS-p,1e-11,35.0,4.0,0.4487989505128276,51,(-0.04139052610093379+0.015910626064944606j),(0.01436044970548671-3.1591581204581197e-10j),(0.0003276002307191576-2.3315978759200174e-11j),(0.06658831871793951-0.07066801011113112j),(0.0003276002307515939-1.9245322103672917e-11j)
SS-p,1e-11,35.0,4.1,0.4487989505128276,51,(0.004698473000157769-0.017192122902011695j),(-0.005962246693990579-3.4334983106109315e-10j),(0.01275421087525697-2.2742352372639112e-11j),(0.06891321179651021-0.06658737117331806j),(0.012754210875239617-1.7757180290974044e-11j)
SS-p,1e-11,35.0,4.2,0.4487989505128276,51,(0.054884557962181425-0.04089266693517412j),(-0.02344407859902729-3.5053757156587166e-10j),(0.023155001627574945-2.1026497068568508e-11j),(0.06739999520019792-0.06069529701895942j),(0.023155001627872086-1.6874866970404764e-11j)
SS-p,1e-11,35.0,4.3,0.4487989505128276,51,(0.10605527354714663-0.055026641414171434j),(-0.03534879061892526-3.3496849104385435e-10j),(0.029996107735243135-1.886567331028932e-11j),(0.06224463537152536-0.05401058858518196j),(0.029996107735125607-1.639547206686269e-11j)
SS-p,1e-11,35.0,4.4,0.4487989505128276,51,(0.15529052534868995-0.05999193911460588j),(-0.04016147106929691-3.043738916790023e-10j),(0.03251453457286724-1.6911499146068977e-11j),(0.053807689358639096-0.04732881649457043j),(0.03251453457262017-1.1499601265536106e-11j)
SS-p,1e-11,35.0,4.5,0.4487989505128276,51,(0.19995761727540254-0.05669023022418136j),(-0.03754898252880181-2.7010373015835985e-10j),(0.030642253216079402-1.5682454194765526e-11j),(0.04261790566236503-0.041261837023040496j),(0.0306422532160301-1.0917050391102572e-11j)
SS-p,1e-11,35.0,4.6,0.4487989505128276,51,(0.2378725461896414-0.04646471479536285j),(-0.028213656388392103-2.3979322466838133e-10j),(0.024891697854984112-1.5182594715512178e-11j),(0.029348277993701738-0.036249585860161374j),(0.02489169785496214-1.0332936158144257e-11j)
SS-p,1e-11,35.0,4.7,0.4487989505128276,51,(0.2674656658304094-0.0309901994918838j),(-0.013641606406082444-2.1627045276167775e-10j),(0.016194109726428926-1.515672541385661e-11j),(0.01476038091301691-0.03256270304070197j),(0.01619410972646141-1.0486785330415982e-11j)
SS-p,1e-11,35.0,4.8,0.4487989505128276,51,(0.28788604412391394-0.012112954573564101j),(0.004223360211335046-1.9896722907846577e-10j),(0.005706110145378592-1.5498940865361657e-11j),(-0.00037205928334305225-0.030310618246859048j),(0.0057061101453756225-1.0829562902947302e-11j)
SS-p,1e-11,35.0,4.9,0.4487989505128276,51,(0.299004322895995+0.008330803137392677j),(0.02332070468074941-1.8706685388630052e-10j),(-0.005383469925884796-1.60344616552221e-11j),(-0.015340549347500912-0.029462398193648758j),(-0.0053834699258980675-1.1455693103847174e-11j)
SS-p,1e-11,35.0,5.0,0.4487989505128276,51,(0.30131395892193286+0.028677599280667612j),(0.04176381888038074-1.7936614439839455e-10j),(-0.01601205390487178-1.6734064625344152e-11j),(-0.029561132154041603-0.02987956528604379j),(-0.016012053904895553-1.2086775093841572e-11j)
SS-p,1e-11,35.0,5.1,0.4487989505128276,51,(0.29576446436302806+0.0475493959796488j),(0.05803565480224789-1.7517115797434102e-10j),(-0.02534481266681607-1.7520228968532393e-11j),(-0.04260510070878711-0.031354640673323976j),(-0.025344812666800054-1.2880264048347554e-11j)
SS-p,1e-11,35.0,5.2,0.4487989505128276,51,(0.2835735915311109+0.06390505355000678j),(0.07107770578240424-1.7384623122470056e-10j),(-0.032815476652179154-1.8331184354001644e-11j),(-0.054201250622471726-0.033647903314307816j),(-0.03281547665219793-1.4092017316399817e-11j)
SS-p,1e-11,35.0,5.3,0.4487989505128276,51,(0.26605836723229753+0.07703800267020851j),(0.08028918736606686-1.754400910903998e-10j),(-0.03811797012514224-1.9112549001173e-11j),(-0.06421730375547731-0.0365169099745289j),(-0.038117970125187764-1.4445495980219042e-11j)
SS-p,1e-11,35.0,5.4,0.4487989505128276,51,(0.2445073753289619+0.0865377430095898j),(0.08546740668502008-1.799925268902473e-10j),(-0.041167263791616636-1.9861923492367665e-11j),(-0.07263058492545788-0.03973658631706031j),(-0.041167263791608726-1.5479570817087166e-11j)
SS-p,1e-11,35.0,5.5,0.4487989505128276,51,(0.220099382716031+0.09223399667078049j),(0.08672056084520342-1.871908874569528e-10j),(-0.0420470994650203-2.0520730060616334e-11j),(-0.07949656353379589-0.043110420337978315j),(-0.042047099465075274-1.6111261345833807e-11j)
SS-p,1e-11,35.0,5.6,0.4487989505128276,51,(0.19386208992710224+0.09413809934555029j),(0.08437649052744495-1.978114477254238e-10j),(-0.040957388451214334-2.1155717766740755e-11j),(-0.08492073650455656-0.046474754752795916j),(-0.04095738845125458-1.7148209443491286e-11j)
SS-p,1e-11,35.0,5.7,0.4487989505128276,51,(0.16666012485049217+0.09239039257909969j),(0.07890128177482177-2.1183742364558196e-10j),(-0.038168495992726925-2.1729481731291374e-11j),(-0.08903630471033565-0.049698514887860604j),(-0.0381684959928813-1.6628600384767913e-11j)
SS-p,1e-11,35.0,5.8,0.4487989505128276,51,(0.13920137277708314+0.08721740713816116j),(0.07083364489783896-2.2908393505307724e-10j),(-0.033985188233783-2.2232394850373212e-11j),(-0.09198798563044877-0.05268038457584839j),(-0.033985188233490206-2.3748242742895934e-11j)
SS-p,1e-11,35.0,5.9,0.4487989505128276,51,(0.11205294183021873+0.07889933855914187j),(0.06073583190432352-2.4891670415482434e-10j),(-0.028720245928859342-2.2810362435683937e-11j),(-0.09392117814357291-0.055344879841441146j),(-0.02872024593013647-5.213191871463616e-12j)
SS-p,1e-11,35.0,6.0,0.4487989505128276,51,(0.08566078612477716+0.06774658936016906j),(0.0491591794678971-2.713580373373959e-10j),(-0.022676389385437118-2.3365351960801928e-11j),(-0.09497529045079615-0.057638226872176276j),(-0.022676389385702288-1.9560804208516584e-11j)
SS-p,1e-11,35.0,6.1,0.4487989505128276,51,(0.06036937667490194+0.05408351705902913j),(0.036621394502870844-2.9389295950162136e-10j),(-0.01613473167466982-2.3879753007962207e-11j),(-0.09528005269986825-0.05952453259627199j),(-0.016134731675155643-2.0378949684272e-11j)
SS-p,1e-11,35.0,6.2,0.4487989505128276,51,(0.03643954206934119+0.03823751540929228j),(0.023592687626489327-3.1609821600982756e-10j),(-0.009348053204053233-2.4329901895089316e-11j),(-0.0949538305821954-0.060982457206724336j),(-0.009348053203854206-1.7903495301726154e-11j)
SS-p,1e-11,35.0,6.3,0.4487989505128276,51,(0.014063725493545582+0.020531830773644j),(0.010488278162758578-3.3491014442458376e-10j),(-0.0025374775528828036-2.444288746743478e-11j),(-0.09410319676915023-0.06200243299334072j),(-0.002537477552928856-1.909606316229976e-11j)
SS-p,1e-11,35.0,6.4,0.4487989505128276,51,(-0.006621439060204203+0.001280874695246778j),(-0.0023346666928336915-3.474316245706453e-10j),(0.004108539464394129-2.4157743597759365e-11j),(-0.09282323692744432-0.06258438820020647j),(0.004108539464274209-1.9044426192174744e-11j)
SS-p,1e-11,35.0,6.5,0.4487989505128276,51,(-0.025524990596677437-0.01921286399724024j),(-0.014577089771606318-3.526124485388182e-10j),(0.010433696828184383-2.349688289357101e-11j),(-0.09119824213009617-0.06273589893608505j),(0.010433696828048816-1.7885776241379223e-11j)
SS-p,1e-11,35.0,6.6,0.4487989505128276,51,(-0.042593564242921426-0.040660919594959745j),(-0.02599611566344821-3.5093836770874244e-10j),(0.016312362247670208-2.255351211465178e-11j),(-0.08930256833262223-0.06247068483048123j),(0.016312362247506394-1.9147728930314797e-11j)
SS-p,1e-11,35.0,6.7,0.4487989505128276,51,(-0.05780496613843476-0.0627903558337913j),(-0.03640184005662325-3.426382071223171e-10j),(0.02164748705261823-2.1394963579379563e-11j),(-0.08720153293615156-0.06180737110287844j),(0.021647487054326238-1.6597395903551906e-11j)
SS-p,1e-11,35.0,6.8,0.4487989505128276,51,(-0.07116302385431458-0.08534491313107356j),(-0.04565331682993556-3.2870494136158075e-10j),(0.026368171812626448-2.026285777419693e-11j),(-0.08495227761123338-0.06076845279412262j),(0.026368171813118103-1.5009464291032754e-11j)
SS-p,1e-11,35.0,6.9,0.4487989505128276,51,(-0.08269339303991863-0.10808592270575926j),(-0.0536540700605812-3.107466154956092e-10j),(0.03042704856787646-1.9134598144385653e-11j),(-0.08260456415568215-0.059379411378045574j),(0.030427048569648292+4.687417508633751e-11j)
SS-p,1e-11,35.0,7.0,0.4487989505128276,51,(-0.0924400648427629-0.1307930428127658j),(-0.06034735698529699-2.910616785107059e-10j),(0.03379759109115745-1.808576604349769e-11j),(-0.08020149266503226-0.05766794731084818j),(0.03379759109111186-1.1689118795116839e-11j)
SS-p,1e-11,35.0,7.1,0.4487989505128276,51,(-0.10046237961472641-0.1532648297575526j),(-0.06571134275886319-2.7060542748388286e-10j),(0.03647142984845716-1.72906634387889e-11j),(-0.07778014393989147-0.05566330347616864j),(0.03647142984844901-1.3289267662280542e-11j)
SS-p,1e-11,35.0,7.2,0.4487989505128276,51,(-0.10683240586362655-0.1753191344283096j),(-0.0697543063584265-2.5110591337255914e-10j),(0.03845572691068616-1.6568576453356435e-11j),(-0.07537215422324271-0.05339566329427444j),(0.038455726910711564-1.1210713733921781e-11j)
SS-p,1e-11,35.0,7.3,0.4487989505128276,51,(-0.1116325876577646-0.19679330689698207j),(-0.07250997008646759-2.3228379679717173e-10j),(0.039770652306130194-1.6043595509046456e-11j),(-0.07300423263866318-0.05089561395465422j),(0.0397706523061265-1.0908452548746866e-11j)
SS-p,1e-11,35.0,7.4,0.4487989505128276,51,(-0.11495359855364114-0.21754419284501367j),(-0.07403302669780872-2.1553867778976777e-10j),(0.04044699430406291-1.565759907747074e-11j),(-0.07069863159212746-0.04819366965100649j),(0.04044699430407391-1.0665704298042329e-11j)
SS-p,1e-11,35.0,7.5,0.4487989505128276,51,(-0.11689236624097003-0.23744791219531908j),(-0.07439492407859401-2.006087445270185e-10j),(0.04052392930374789-1.5411492692017973e-11j),(-0.06847357912916963-0.04531985251121886j),(0.040523929303731276-1.058171834848376e-11j)
SS-p,1e-11,35.0,7.6,0.4487989505128276,51,(-0.11755025055759288-0.25639941942828015j),(-0.07367995521266159-1.878209186899866e-10j),(0.04004697126639935-1.5224028017723662e-11j),(-0.06634368036353006-0.0423033302718305j),(0.0400469712664169-1.0814868440601193e-11j)
SS-p,1e-11,35.0,7.7,0.4487989505128276,51,(-0.11703136962585227-0.27431185499393046j),(-0.07198168978256869-1.7627545689903205e-10j),(0.039066115190971834-1.5132763741034297e-11j),(-0.06432029318035966-0.03917211019136136j),(0.039066115191006376-1.0500682604835681e-11j)
