form,rtol,N,a1,a2,omega1,omega multiplier,phi1,phi offset,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,4.7,2.0,1.5707963267948966,0.7853981633974483,(0.004134587994316324+0.0011225143114254113j),(-6.510744072653327e-05-3.901295757723506e-11j),(-0.07395954933908466-0.24883180508267289j),(-4.997595018970061e-05+0.03269631070951094j),(0.08291277979999574-1.5838591223844753e-10j),(0.19838518075912323+0.16482512129048946j),(-0.04350138569713171-0.038937660531997584j),(-0.06990693778757119-1.3081800259524006e-10j),(-0.3445465001483077-0.19080550083923503j),(0.035090733288409295-0.028985536203798474j),(-0.013855563961910563-4.2235283063550495e-11j)
DS-p,1e-11,51,35.0,35.0,4.8,2.0,1.5707963267948966,0.7853981633974483,(0.0032866458143413447+0.0006438974005399432j),(-2.4127713878965413e-05-4.039078981084771e-11j),(-0.12516496318092857-0.24598127430898073j),(0.010037759931415039+0.0311085392271376j),(0.07075817639480564-1.5657307527235752e-10j),(0.1645700907432359+0.18188553161939255j),(-0.04103888004288966-0.04269700525703551j),(-0.06220000537000771-1.310433429145453e-10j),(-0.3294273611678056-0.20691592559000255j),(0.032494472335986874-0.030509661619509364j),(-0.00930978355733652-4.259849220338988e-11j)
DS-p,1e-11,51,35.0,35.0,4.9,2.0,1.5707963267948966,0.7853981633974483,(0.00245529808335255+0.0002593787918089265j),(-7.1307198617486815e-06-4.0230373049590985e-11j),(-0.1710173139591544-0.22892090814141955j),(0.018921805601353477+0.02666381344690391j),(0.057273014322205905-1.514885692653007e-10j),(0.12777572450037852+0.19001374728896517j),(-0.038055930318505744-0.04569817583744933j),(-0.052813262306411785-1.3352555434550846e-10j),(-0.31231581767141314-0.2202735811881425j),(0.03026439303552038-0.03206824185932805j),(-0.0051077005092959316-4.197491243113012e-11j)
DS-p,1e-11,51,35.0,35.0,5.0,2.0,1.5707963267948966,0.7853981633974483,(0.0017071397654325761-2.2142672565418176e-05j),(-7.645547018397652e-06-3.9420781211066555e-11j),(-0.20811330076925638-0.20086046566795607j),(0.02589278333762004+0.020030675113823893j),(0.04369502132751128-1.510075356549842e-10j),(0.09080890958389312+0.18932612994893075j),(-0.03470398241961961-0.047980627779466545j),(-0.042949731439745634-1.3530644158205564e-10j),(-0.2937563785277433-0.2308173073581028j),(0.028333702806323566-0.03364218604970237j),(-0.001289233847518459-4.125073976693903e-11j)
DS-p,1e-11,51,35.0,35.0,5.1,2.0,1.5707963267948966,0.7853981633974483,(0.0010837313082767584-0.00020344978760278878j),(-1.965265938962673e-05-3.851922084372738e-11j),(-0.23447650120592178-0.1654306025883687j),(0.030546125848999905+0.011981543707638636j),(0.031062830134078397-1.5805220186586313e-10j),(0.0559901363425792+0.18079783177533268j),(-0.031105612460451376-0.0495863984785614j),(-0.033624243628837036-1.44086971309367e-10j),(-0.2742371315395522-0.23854229122213264j),(0.02665553321136718-0.03521516915922694j),(0.002116455046191859-4.2243671997742864e-11j)
DS-p,1e-11,51,35.0,35.0,5.2,2.0,1.5707963267948966,0.7853981633974483,(0.0006041997428516201-0.00029524306157493666j),(-3.804372092112566e-05-3.7077568355398255e-11j),(-0.24939160743389407-0.1262133454204254j),(0.03275416622994388+0.0032840898348440403j),(0.02014605384612458-1.675888128138917e-10j),(0.0250354662653828+0.16594345567163607j),(-0.027360014367877883-0.05055915310884095j),(-0.025592520566852857-1.489751170624042e-10j),(-0.25418443494013937-0.24350025513041157j),(0.02519952902082892-0.036770063530757895j),(0.005090877481027633-4.2350882833060555e-11j)
DS-p,1e-11,51,35.0,35.0,5.3,2.0,1.5707963267948966,0.7853981633974483,(0.00027004476134351313-0.0003126413855221191j),(-5.8735534536935995e-05-3.5036666097764545e-11j),(-0.25314859796852346-0.08642922743858963j),(0.032612349214445925-0.005373533348082374j),(0.011430414528639951-1.7807063038517446e-10j),(-0.0009533059604577124+0.14653458814977663j),(-0.023547521735346553-0.05094426748356811j),(-0.01933581575655355-1.538584491472143e-10j),(-0.23396157986344218-0.2457936583538172j),(0.023946768049546527-0.038287998471724885j),(0.007626160169620802-4.207343773568626e-11j)
DS-p,1e-11,51,35.0,35.0,5.4,2.0,1.5707963267948966,0.7853981633974483,(7.04668891867596e-05-0.00027244219850163886j),(-7.861238311140589e-05-3.298353839782225e-11j),(-0.24676594346627506-0.048762183208596876j),(0.030376917356069396-0.01342553277925682j),(0.005140075163057692-1.945018499307833e-10j),(-0.021430408856665757+0.12437907061372398j),(-0.01973310573031416-0.050788866734441745j),(-0.01508263130084728-1.5699457398198836e-10j),(-0.21387101159512964-0.2455660809819044j),(0.022884897067541942-0.03974905822153803j),(0.009724529736194901-4.127036086391207e-11j)
DS-p,1e-11,51,35.0,35.0,5.5,2.0,1.5707963267948966,0.7853981633974483,(-1.281459096846744e-05-0.00019123073486076455j),(-9.541021640303051e-05-3.17133849667928e-11j),(-0.23173420053645988-0.015289841652666827j),(0.026405277708363532-0.020445806042493863j),(0.00128070176161839-2.1371979120248896e-10j),(-0.03631295859749995+0.10116589070123332j),(-0.015969067465317156-0.05014146075624997j),(-0.012850815242549218-1.6027750978042083e-10j),(-0.194159141557633-0.2429911032732825j),(0.022004368386407836-0.04113368283493468j),(0.011397255819620514-4.0059752408436875e-11j)
DS-p,1e-11,51,35.0,35.0,5.6,2.0,1.5707963267948966,0.7853981633974483,(-1.7137157013168876e-06-8.421061173849708e-05j),(-0.00010759589705261012-3.1224204363883686e-11j),(-0.20979977582984194+0.012513593702510716j),(0.021104972734937194-0.026147179318901915j),(-0.00030931747738204734-2.3959547121181046e-10j),(-0.04587633239825346+0.07836832786221841j),(-0.012297170192780501-0.04905121449027133j),(-0.0124974952924089-1.6606054579622492e-10j),(-0.17502266463560365-0.23826145830038326j),(0.021295974645546344-0.04242411458047969j),(0.012663180048346144-3.841273358835608e-11j)
