form,rtol,N,a1,a2,omega1,omega multiplier,phi1,phi offset,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,51,35.0,35.0,100.1,2.0,1.5707963267948966,0.7853981633974483,(-4.8258489728641996e-08+4.04767131817127e-08j),(8.696992339837784e-08+5.020855442068199e-11j),(-0.9108787078929844-0.33243862984336864j),(0.0005168794073176844+0.0003239771394556994j),(-0.0010982125070228763+4.420706561807031e-12j),(-0.9381270464888737+0.214090777505661j),(-0.0012197859948969453+0.00014355736165577726j),(0.0023187494348197325+5.113842999562535e-11j),(-0.984806477549713+0.12229363124453031j),(0.0006127499900090982-5.6907421408678056e-05j),(-0.0012207194341700613+1.658531018701899e-11j)
DS-p,1e-11,51,35.0,35.0,100.2,2.0,1.5707963267948966,0.7853981633974483,(-4.8076666259166956e-08+4.022589778721747e-08j),(8.663183715014455e-08+5.172042130488827e-11j),(-0.9110514380471193-0.3321405737890783j),(0.0005160419132614266+0.000323049286447652j),(-0.0010962842999687056+5.3419105347508145e-12j),(-0.9382467881210829+0.21390046712097635j),(-0.0012173829761766564+0.00014312877031607326j),(0.0023144148313641016+5.264348917823427e-11j),(-0.9848366143331123+0.12217420593033154j),(0.0006115369685780608-5.6737841724898395e-05j),(-0.0012183123299328276+1.755893558809801e-11j)
DS-p,1e-11,51,35.0,35.0,100.3,2.0,1.5707963267948966,0.7853981633974483,(-4.789187169410014e-08+3.9971452582727995e-08j),(8.629928145709176e-08+5.32238797184294e-11j),(-0.9112236717897677-0.3318430136758782j),(0.0005152061805531166+0.00032212492214105494j),(-0.0010943608452442938+6.246910457630137e-12j),(-0.9383661863258738+0.21371046822592046j),(-0.0012149870195451405+0.00014270187579292284j),(0.002310092069460541+5.4136912261796526e-11j),(-0.9848666617091624+0.12205501099080716j),(0.0006103275390267025-5.656892780320742e-05j),(-0.0012159123102877855+1.8663465083190262e-11j)
DS-p,1e-11,51,35.0,35.0,100.4,2.0,1.5707963267948966,0.7853981633974483,(-4.7712481427569786e-08+3.972373507042659e-08j),(8.596284645397134e-08+5.4690884884105645e-11j),(-0.9113954110011353-0.3315459484030749j),(0.0005143721999073102+0.0003212040431634501j),(-0.0010924421378160215+7.1379111753834856e-12j),(-0.9384852424015505+0.21352078015129328j),(-0.0012125980977880438+0.0001422766822363761j),(0.0023057810970829457+5.559698022073105e-11j),(-0.9848966200318613+0.12193604576785158j),(0.0006091216802963928-5.6400689585479283e-05j),(-0.0012135193466546196+1.963215943183314e-11j)
DS-p,1e-11,51,35.0,35.0,100.5,2.0,1.5707963267948966,0.7853981633974483,(-4.761926843468989e-08+3.971235886749552e-08j),(8.562798157682461e-08+4.8545481360697636e-11j),(-0.9115666575493194-0.3312493768714614j),(0.0005135399365155443+0.0003202869018442407j),(-0.0010905281582998944+3.0670730553038396e-12j),(-0.938603957644068+0.2133314022337469j),(-0.0012102161747973971+0.00014185319752491477j),(0.002301481975300933+4.947322533615936e-11j),(-0.9849264896602932+0.12181730960395892j),(0.00060791935460279-5.6233340488351206e-05j),(-0.0012111334120422255+1.5611762067288313e-11j)
DS-p,1e-11,51,35.0,35.0,100.6,2.0,1.5707963267948966,0.7853981633974483,(-4.7481842593150025e-08+3.9477592203053524e-08j),(8.522158860373164e-08+4.974838075542243e-11j),(-0.9117374132836455-0.3309532979667748j),(0.0005127094207886783+0.00031937295300930825j),(-0.0010886189623387013+3.812033281218621e-12j),(-0.9387223333042841+0.21314233380562775j),(-0.0012078412660317343+0.0001414313957639659j),(0.0022971943998382933+5.067790511186806e-11j),(-0.9849562709066416+0.12169880183618055j),(0.0006067205644663572-5.606644728472186e-05j),(-0.0012087544692321907+1.612140125546566e-11j)
DS-p,1e-11,51,35.0,35.0,100.7,2.0,1.5707963267948966,0.7853981633974483,(-4.726184898648511e-08+3.911674124543185e-08j),(8.48904854033189e-08+5.4975229623627477e-11j),(-0.9119076800852517-0.3306577106257515j),(0.0005118807029685264+0.0003184622763692283j),(-0.0010867143960104006+7.154330508553956e-12j),(-0.9388403707051911+0.2129535741885278j),(-0.0012054732873093502+0.000141011225098857j),(0.002292918364512786+5.588343068800386e-11j),(-0.9849859641603772+0.12158052184559263j),(0.0006055253603879755-5.590008442392857e-05j),(-0.0012063825107878423+1.957074603238722e-11j)
DS-p,1e-11,51,35.0,35.0,100.8,2.0,1.5707963267948966,0.7853981633974483,(-4.7085601424801116e-08+3.887592211603702e-08j),(8.456101752499223e-08+5.6336691164991764e-11j),(-0.9120774597811496-0.33036261374260384j),(0.0005110537092412552+0.0003175551534577018j),(-0.0010848145152658334+7.964178684536231e-12j),(-0.9389580711028314+0.2127651227365702j),(-0.0012031122298181273+0.00014059272748283367j),(0.0022886541564923653+5.723803077557454e-11j),(-0.9850155697591805+0.12146246895936846j),(0.0006043336614935356-5.573448988218559e-05j),(-0.001204017499346179+2.0473301610557074e-11j)
DS-p,1e-11,51,35.0,35.0,100.9,2.0,1.5707963267948966,0.7853981633974483,(-4.691033112305676e-08+3.8637177525099875e-08j),(8.423316820785343e-08+5.7675191584071175e-11j),(-0.9122467542078425-0.330068006227688j),(0.0005102284535075125+0.00031665143038567224j),(-0.0010829193063443404+8.769816581054517e-12j),(-0.9390754357616652+0.21257697878195603j),(-0.0012007580710148777+0.00014017588302019796j),(0.002284401537725257+5.85698207694881e-11j),(-0.9850450880411834+0.12134464253772759j),(0.0006031454677305169-5.5569549332541365e-05j),(-0.0012016594081482954+2.1368919446155088e-11j)
DS-p,1e-11,51,35.0,35.0,101.0,2.0,1.5707963267948966,0.7853981633974483,(-4.673548481895495e-08+3.839888709430972e-08j),(8.390688057205442e-08+5.900182328943827e-11j),(-0.9124155651919713-0.3297738869945161j),(0.0005094049320572922+0.00031575109208976655j),(-0.0010810287563645452+9.628520374542939e-12j),(-0.939192465942659+0.21238914166421458j),(-0.0011984107834469016+0.00013976068620143514j),(0.0022801604671827177+5.988862693571803e-11j),(-0.985074519349327+0.12122704193659634j),(0.0006019607655225398-5.540525719448328e-05j),(-0.0011993082105739997+2.2271353019829348e-11j)
DS-p,1e-11,51,35.0,35.0,101.1,2.0,1.5707963267948966,0.7853981633974483,(-4.6653903310045486e-08+3.8418415762922487e-08j),(8.358235446467854e-08+5.202362144841626e-11j),(-0.9125838945507138-0.3294802549592114j),(0.0005085831037825554+0.00031485442522671304j),(-0.0010791428515509321+5.174406106561992e-12j),(-0.9393091629075772+0.21220161072916507j),(-0.0011960703310318274+0.00013934715475506006j),(0.0022759310098532937+5.293157961184573e-11j),(-0.985103864033854+0.12110966651306104j),(0.0006007795114060556-5.524185412138357e-05j),(-0.0011969638795667507+1.77447123953475e-11j)
DS-p,1e-11,51,35.0,35.0,101.2,2.0,1.5707963267948966,0.7853981633974483,(-4.648308409016533e-08+3.819046462318759e-08j),(8.325939819010808e-08+5.3087042745728984e-11j),(-0.9127517440963115-0.3291871090397302j),(0.0005077630396863684+0.0003139608186817095j),(-0.001077261576844589+5.9478912323554705e-12j),(-0.9394255278909583+0.2120143853098808j),(-0.0011937367063743383+0.00013893522783563032j),(0.0022717129180700527+5.3986600072605624e-11j),(-0.9851331224144505+0.1209925156338333j),(0.0005996017507945602-5.5078858051363973e-05j),(-0.0011946263886602193+1.8493720618803684e-11j)
DS-p,1e-11,51,35.0,35.0,101.3,2.0,1.5707963267948966,0.7853981633974483,(-4.6313204649789386e-08+3.796417514731476e-08j),(8.293790795810274e-08+5.411633272775542e-11j),(-0.912919115629241-0.3288944481578394j),(0.0005069446997644795+0.0003130705484345024j),(-0.0010753849185490896+6.671690704038075e-12j),(-0.9395415621430407+0.21182746475421832j),(-0.0011914098746596009+0.00013852492108998565j),(0.002267506252784905+5.500812818394998e-11j),(-0.985162294837849+0.12087558866045876j),(0.0005984274409148969-5.491650274875746e-05j),(-0.0011922957114222739+1.9206741295279878e-11j)
DS-p,1e-11,51,35.0,35.0,101.4,2.0,1.5707963267948966,0.7853981633974483,(-4.614322227092238e-08+3.7737100506973764e-08j),(8.261801648541678e-08+5.5240154434202626e-11j),(-0.9130860109427992-0.3286022712368008j),(0.0005061280810263503+0.00031218359634128424j),(-0.001073512862835517+7.43472648672564e-12j),(-0.9396572669011652+0.2116408484076812j),(-0.0011890898092467485+0.0001381162271890347j),(0.002263310972928095+5.612415130865451e-11j),(-0.9851913816398064+0.12075888495958473j),(0.0005972565689155857-5.475478097463193e-05j),(-0.0011899718214172126+1.9977139119953795e-11j)
DS-p,1e-11,51,35.0,35.0,101.5,2.0,1.5707963267948966,0.7853981633974483,(-4.5981115200099953e-08+3.7530251588771546e-08j),(8.229905926540604e-08+5.5947729420262984e-11j),(-0.9132524318219085-0.3283105772067267j),(0.0005053131796888717+0.000311299947734418j),(-0.0010716453934020015+7.2681958754102785e-12j),(-0.9397726433977928+0.21145453561275157j),(-0.0011867764913920612+0.00013770911756105265j),(0.0022591270393833938+5.68372794477351e-11j),(-0.9852203831532705+0.12064240390200753j),(0.0005960891190745395-5.4593711385354186e-05j),(-0.0011876546917782664+2.0329528791726322e-11j)
DS-p,1e-11,51,35.0,35.0,101.6,2.0,1.5707963267948966,0.7853981633974483,(-4.581161020325575e-08+3.7303032148459925e-08j),(8.198222924311882e-08+5.714518812113513e-11j),(-0.9134183800431278-0.32801936498833856j),(0.0005044999920931128+0.0003104195904122793j),(-0.0010697825026825952+8.104012307333934e-12j),(-0.9398876928580902+0.21126852572600247j),(-0.0011844698804029802+0.00013730362695470438j),(0.00225495441204851+5.8026376191594695e-11j),(-0.9852492997138489+0.12052614485376492j),(0.0005949250822189014-5.443325100534368e-05j),(-0.0011853442978036026+2.115908400985928e-11j)
DS-p,1e-11,51,35.0,35.0,101.7,2.0,1.5707963267948966,0.7853981633974483,(-4.5674263003669946e-08+3.7165570739884635e-08j),(8.166751798086014e-08+5.5146533559899234e-11j),(-0.9135838573884277-0.3277286335270684j),(0.0005036884979453225+0.0003095426478466907j),(-0.0010679241258768+7.783887074846379e-12j),(-0.9400024164881404+0.21108281808596366j),(-0.001182169944029289+0.00013689976495122325j),(0.0022507931268454344+5.6014979224380535e-11j),(-0.9852781316346039+0.12041010718954089j),(0.0005937644321043281-5.427350441717261e-05j),(-0.001183040613145025+2.0097379083977453e-11j)
DS-p,1e-11,51,35.0,35.0,101.8,2.0,1.5707963267948966,0.7853981633974483,(-4.551065342986438e-08+3.695345731236782e-08j),(8.135369567938144e-08+5.5934628693495233e-11j),(-0.9137488655905701-0.3274383817371454j),(0.0005028787259807096+0.000308668838654214j),(-0.0010660703452650341+8.263280782711392e-12j),(-0.9401168155321526+0.21089741205590443j),(-0.0011798766849594362+0.0001364974434920896j),(0.002246642998569708+5.6797859442955184e-11j),(-0.9853068792767524+0.12029429028751389j),(0.0005926071756754761-5.4114308816676296e-05j),(-0.0011807436111718828+2.0633316231277297e-11j)
DS-p,1e-11,51,35.0,35.0,101.9,2.0,1.5707963267948966,0.7853981633974483,(-4.5347969556547296e-08+3.674312682930281e-08j),(8.10413660831677e-08+5.67276224123403e-11j),(-0.9139134064154077-0.3271486085641557j),(0.0005020706572470713+0.0003077982758444603j),(-0.001064221099518703+8.751649668088157e-12j),(-0.9402308911844526+0.2107123069821639j),(-0.001177590062789403+0.00013609669674777974j),(0.0022425040591029406+5.7585809567876586e-11j),(-0.9853355429519993+0.12017869352440846j),(0.0005914532906370722-5.3955733590776295e-05j),(-0.0011784532665662633+2.117555345990036e-11j)
DS-p,1e-11,51,35.0,35.0,102.0,2.0,1.5707963267948966,0.7853981633974483,(-4.518559343358319e-08+3.6532951743634134e-08j),(8.073050061091491e-08+5.7524659427816953e-11j),(-0.9140774816071546-0.32685931294694637j),(0.0005012642884523952+0.0003069309426839881j),(-0.0010623763752754117+9.240355851392556e-12j),(-0.9403446446489201+0.21052750221843336j),(-0.001175310052741716+0.00013569751526189798j),(0.002238376269285188+5.837760592434611e-11j),(-0.9853641229866592+0.12006331628042664j),(0.000590302763736443-5.379777751796447e-05j),(-0.0011761695537416527+2.1718695127796067e-11j)
DS-p,1e-11,51,35.0,35.0,102.1,2.0,1.5707963267948966,0.7853981633974483,(-4.502256085656131e-08+3.632029920395963e-08j),(8.042115231393643e-08+5.843224661630493e-11j),(-0.9142410929014759-0.3265704938268824j),(0.0005004596164792235+0.00030606682144460463j),(-0.001060536159081936+9.790748103661512e-12j),(-0.9404580771232599+0.21034299711962046j),(-0.001173036629134228+0.0001352998923888401j),(0.0022342595919254346+5.927993762622239e-11j),(-0.9853926197048074+0.11994815793800677j),(0.0005891555824502868-5.364043271467896e-05j),(-0.0011738924473828644+2.232873720716768e-11j)
DS-p,1e-11,51,35.0,35.0,102.2,2.0,1.5707963267948966,0.7853981633974483,(-4.485959690520014e-08+3.610717726372503e-08j),(8.011329113467858e-08+5.939119931240042e-11j),(-0.9144042420267001-0.32628215014757994j),(0.0004996566376570307+0.00030520589965094534j),(-0.0010587004374645534+1.0379157397101372e-11j),(-0.9405711898003023+0.21015879104246285j),(-0.001170769766583299+0.00013490382041052556j),(0.002230153987552554+6.023323107975124e-11j),(-0.9854210334296185+0.11983321788229041j),(0.0005880117338834187-5.348369846933402e-05j),(-0.0011716219217775782+2.2976904973805925e-11j)
DS-p,1e-11,51,35.0,35.0,102.3,2.0,1.5707963267948966,0.7853981633974483,(-4.469712308260987e-08+3.58947387880601e-08j),(7.980688784652024e-08+6.035289442298915e-11j),(-0.9145669307029312-0.32599428085544946j),(0.0004988553482198899+0.00030434816403857533j),(-0.0010568691972146355+1.0951622452375068e-11j),(-0.9406839838673544+0.20997488334485817j),(-0.0011685094403152164+0.00013450929145984811j),(0.002226059416668492+6.118959113256177e-11j),(-0.9854493644825616+0.11971849550042604j),(0.0005868712045656137-5.332757391583037e-05j),(-0.0011693579520527233+2.361434456152332e-11j)
DS-p,1e-11,51,35.0,35.0,102.4,2.0,1.5707963267948966,0.7853981633974483,(-4.4535668763945324e-08+3.568420657053262e-08j),(7.950189281902276e-08+6.13205170442862e-11j),(-0.9147291606423538-0.3257068848992171j),(0.0004980557445685811+0.00030349360142259657j),(-0.0010550424248994342+1.1535983561348851e-11j),(-0.9407964605059517+0.2097912733862059j),(-0.0011662556248526624+0.0001341162991428833j),(0.0022219758409940185+6.215176863710649e-11j),(-0.9854776131833082+0.11960399018207582j),(0.0005857339820768658-5.317205491494562e-05j),(-0.0011671005128939494+2.4263398793346524e-11j)
DS-p,1e-11,51,35.0,35.0,102.5,2.0,1.5707963267948966,0.7853981633974483,(-4.431885167882621e-08+3.531731731371002e-08j),(7.919833736741433e-08+6.733247378592265e-11j),(-0.9148909335500132-0.325419961229535j),(0.0004972578458912504+0.0003026420128778122j),(-0.0010532201074196362+1.539900754963049e-11j),(-0.940908620887674+0.2096079605263415j),(-0.0011640083011135432+0.0001337248200210632j),(0.002217903224019494+6.814033903194019e-11j),(-0.985505779844603+0.11948970131804822j),(0.0005846000714214428-5.301699097626884e-05j),(-0.0011648495795001119+2.8212196940686326e-11j)
DS-p,1e-11,51,35.0,35.0,102.6,2.0,1.5707963267948966,0.7853981633974483,(-4.415958911735407e-08+3.5111392414181875e-08j),(7.889623353588004e-08+6.822250979717564e-11j),(-0.9150522511208644-0.32513350880230285j),(0.0004964616031551822+0.0003017937542690273j),(-0.0010514022314192795+1.5927787242189493e-11j),(-0.9410204661934043+0.2094249441286211j),(-0.0011617674332451144+0.00013333487753048549j),(0.002213841524672527+6.902535682083649e-11j),(-0.9855338647946338+0.11937562830314906j),(0.0005834694237266194-5.28626782144658e-05j),(-0.0011626051267872948+2.8810128365610536e-11j)
DS-p,1e-11,51,35.0,35.0,102.7,2.0,1.5707963267948966,0.7853981633974483,(-4.40009493875293e-08+3.490664641624813e-08j),(7.85956412070743e-08+6.908032190871716e-11j),(-0.9152131150442848-0.32484752657284627j),(0.0004956670358143549+0.00030094862487912923j),(-0.0010495887837320417+1.6426004230155976e-11j),(-0.9411319975836291+0.20924222355585245j),(-0.0011595330022494237+0.00013294644843017418j),(0.0022097907064688466+6.987840621740737e-11j),(-0.9855618683426939+0.11926177053320892j),(0.0005823420446102248-5.270896381654594e-05j),(-0.0011603671299924012+2.938195001304404e-11j)
DS-p,1e-11,51,35.0,35.0,102.8,2.0,1.5707963267948966,0.7853981633974483,(-4.3843426535128405e-08+3.4703917669264006e-08j),(7.829629438890762e-08+6.991870086111324e-11j),(-0.9153735270014591-0.32456201349981834j),(0.0004948741401628754+0.00030010661147188014j),(-0.0010477797514143877+1.6909459756944368e-11j),(-0.9412432162186801+0.20905979817315984j),(-0.0011573049834101429+0.00013255952629916742j),(0.0022057507314548353+7.071236302129323e-11j),(-0.985589790802549+0.11914812740676392j),(0.0005812179215881202-5.255584402447241e-05j),(-0.0011581355645401458+2.9937054485228006e-11j)
DS-p,1e-11,51,35.0,35.0,102.9,2.0,1.5707963267948966,0.7853981633974483,(-4.368631743162377e-08+3.450166332838456e-08j),(7.799840331425278e-08+7.074651643937214e-11j),(-0.9155334886656137-0.3242769685449213j),(0.0004940829130623669+0.00029926769823467817j),(-0.0010459751211600657+1.7385121147992032e-11j),(-0.9413541232535685+0.2088776673466212j),(-0.0011550833527720714+0.00013217410237121967j),(0.0022017215621389138+7.153577471116346e-11j),(-0.9856176324864068+0.11903469832404848j),(0.0005800970419099459-5.2403317392289445e-05j),(-0.0011559104060231149+3.04870959088757e-11j)
DS-p,1e-11,51,35.0,35.0,103.0,2.0,1.5707963267948966,0.7853981633974483,(-4.353952902033664e-08+3.432746513865742e-08j),(7.77017420319076e-08+7.07165597073904e-11j),(-0.9156930016994037-0.3239923906745903j),(0.000493293346972597+0.0002984319028808864j),(-0.00104417488011313+1.729141861218668e-11j),(-0.9414647198376824+0.2086958304405445j),(-0.0011528680848321912+0.00013179017300551498j),(0.002197703035423602+7.150451250326576e-11j),(-0.9856453937046203+0.11892148269174091j),(0.0005789793902540204-5.225140478463432e-05j),(-0.0011536916299608431+3.046728585677559e-11j)
DS-p,1e-11,51,35.0,35.0,103.1,2.0,1.5707963267948966,0.7853981633974483,(-4.338295676864501e-08+3.413228279181002e-08j),(7.740913421198925e-08+7.147966677399277e-11j),(-0.9158520677681413-0.3237082788502732j),(0.000492505456740483+0.00029759915303109036j),(-0.001042379002984914+1.7702250324806566e-11j),(-0.9415750071169624+0.2085142868315368j),(-0.0011506591466833738+0.00013140772121789622j),(0.0021936953776398975+7.226264406532407e-11j),(-0.9856730747678943+0.11880847990759734j),(0.0005778649725076204-5.2100058986354666e-05j),(-0.001151479197224384+3.092797252938578e-11j)
DS-p,1e-11,51,35.0,35.0,103.2,2.0,1.5707963267948966,0.7853981633974483,(-4.322176697102442e-08+3.39110945808338e-08j),(7.711493370428368e-08+7.306002015515546e-11j),(-0.9160106884928744-0.32342463203549854j),(0.0004917192155849837+0.00029676942734479356j),(-0.0010405875042311594+1.870434338536485e-11j),(-0.9416849862048379+0.20833303587865745j),(-0.001148456537648078+0.0001310267488157284j),(0.0021896983941003725+7.383835695990176e-11j),(-0.9857006759551099+0.11869568938176654j),(0.0005767537493954963-5.194926880744367e-05j),(-0.0011492731169288504+3.198811716505247e-11j)
DS-p,1e-11,51,35.0,35.0,103.3,2.0,1.5707963267948966,0.7853981633974483,(-4.30508546034325e-08+3.370757689028642e-08j),(7.68353535310351e-08+7.416334473621017e-11j),(-0.916168865521923-0.32314144919954363j),(0.0004909346368064584+0.0002959427977112536j),(-0.0010388003332755802+1.9136892817182972e-11j),(-0.9417946582375212+0.20815207695912463j),(-0.0011462601991179457+0.00013064726217602678j),(0.0021857120951303023+7.492719349962657e-11j),(-0.9857281975759463+0.11858311051874885j),(0.0005756457312673588-5.179906800056302e-05j),(-0.0011470733297827959+3.248214223168822e-11j)
DS-p,1e-11,51,35.0,35.0,103.4,2.0,1.5707963267948966,0.7853981633974483,(-4.289935911019893e-08+3.351225891148196e-08j),(7.654311018345794e-08+7.492232845196255e-11j),(-0.9163266005560485-0.3228587293414582j),(0.0004901516973256064+0.00029511917797399464j),(-0.0010370175220851124+1.9586655455609723e-11j),(-0.9419040244142455+0.2079714094589707j),(-0.0011440701484681844+0.00013026922586440587j),(0.0021817363936174564+7.568324107466921e-11j),(-0.9857556400117483+0.11847074274098872j),(0.0005745408818420179-5.164945901637609e-05j),(-0.0011448798446511404+3.30018374964323e-11j)
DS-p,1e-11,51,35.0,35.0,103.5,2.0,1.5707963267948966,0.7853981633974483,(-4.2750307946426425e-08+3.332058850884223e-08j),(7.62520778931769e-08+7.56306553515549e-11j),(-0.9164838951785591-0.32257647142178214j),(0.0004893704046089568+0.00029429857522075354j),(-0.0010352390369199535+2.0027617961055405e-11j),(-0.9420130858121448+0.2077910327427362j),(-0.0011418863429084186+0.00012989264514699523j),(0.0021777712742056567+7.639050069831695e-11j),(-0.9857830035144247+0.11835858545650771j),(0.0005734392011937962-5.150042644125417e-05j),(-0.0011426926232133826+3.351629534949651e-11j)
DS-p,1e-11,51,35.0,35.0,103.6,2.0,1.5707963267948966,0.7853981633974483,(-4.2601608039871675e-08+3.312872128274219e-08j),(7.596201554577187e-08+7.634346919081173e-11j),(-0.916640751009957-0.32229467441895987j),(0.0004885907559005528+0.0002934809753588109j),(-0.001033464863412964+2.046882608008091e-11j),(-0.942121843549261+0.20761094618660392j),(-0.0011397087578614486+0.00012951751328054654j),(0.0021738167024900473+7.710150827761369e-11j),(-0.9858102883851891+0.11824663808127385j),(0.0005723406782887595-5.135196605489346e-05j),(-0.0011405116399763604+3.4025424727889095e-11j)
DS-p,1e-11,51,35.0,35.0,103.7,2.0,1.5707963267948966,0.7853981633974483,(-4.2453216178572895e-08+3.293714604096082e-08j),(7.567314075536402e-08+7.711544618184922e-11j),(-0.9167971696634686-0.32201333731448656j),(0.00048781274783325085+0.00029266636520528465j),(-0.0010316949886781251+2.0946057950911075e-11j),(-0.9422302987392362+0.207431149167811j),(-0.0011375373694202905+0.0001291438241739001j),(0.0021698726424187013+7.787203311669134e-11j),(-0.9858374949243583+0.11813490003290818j),(0.00057124530131588-5.120407363657384e-05j),(-0.0011383368713889655+3.457901854257929e-11j)
DS-p,1e-11,51,35.0,35.0,103.8,2.0,1.5707963267948966,0.7853981633974483,(-4.233566294753466e-08+3.2833873494196586e-08j),(7.538602072969247e-08+7.492908515643075e-11j),(-0.9169531527392123-0.3217324590845324j),(0.0004870363630192342+0.0002918548457437578j),(-0.0010299294240869103+1.981180897162324e-11j),(-0.9423384525005234+0.20725164107499522j),(-0.0011353721476727533+0.00012877158951363557j),(0.0021659391263120827+7.568864397107753e-11j),(-0.9858646234428241+0.11802337072799152j),(0.0005701530482508203-5.105683089283268e-05j),(-0.0011361682940490888+3.3244921220482954e-11j)
DS-p,1e-11,51,35.0,35.0,103.9,2.0,1.5707963267948966,0.7853981633974483,(-4.215150173347837e-08+3.259108598187982e-08j),(7.513576530567001e-08+7.566099009979155e-11j),(-0.9171087018385661-0.32145203872662625j),(0.0004862616495954347+0.0002910461129700002j),(-0.0010281680741434651+2.0160866866761696e-11j),(-0.942446305907358+0.20707242126773012j),(-0.0011332130871924296+0.00012840069996681528j),(0.0021620160062227334+7.638942062961779e-11j),(-0.9858916742059864+0.117912049594755j),(0.0005690639529612115-5.0910011789335064e-05j),(-0.001134005888248581+3.494496483329133e-11j)
DS-p,1e-11,51,35.0,35.0,104.0,2.0,1.5707963267948966,0.7853981633974483,(-4.200330801923391e-08+3.24038044955538e-08j),(7.485423052233653e-08+7.642695058940037e-11j),(-0.9172638185580946-0.3211720752270179j),(0.00048548854380894325+0.00029024039571148505j),(-0.0010264110158604706+2.0640924194746362e-11j),(-0.9425538600805349+0.2068934891382041j),(-0.0011310601464339341+0.00012803129859576424j),(0.0021581032575457276+7.7153730740433e-11j),(-0.9859186475303195+0.11780093605511145j),(0.0005679779436943699-5.076381113745419e-05j),(-0.001131849623059407+3.545141129959522e-11j)
DS-p,1e-11,51,35.0,35.0,104.1,2.0,1.5707963267948966,0.7853981633974483,(-4.187959022280974e-08+3.228488318872402e-08j),(7.457338904379163e-08+7.500936604747469e-11j),(-0.9174185044782768-0.32089256757732554j),(0.0004847170547076854+0.0002894376938480669j),(-0.001024658206235804+1.9692855898162434e-11j),(-0.9426611161131422+0.2067148440673572j),(-0.0011289133079491961+0.0001276633178590508j),(0.0021542007956076737+7.574213041087978e-11j),(-0.9859455437111642+0.11769002953701248j),(0.0005668950245975857-5.0618234293545606e-05j),(-0.0011296994791607099+3.452822102968782e-11j)
DS-p,1e-11,51,35.0,35.0,104.2,2.0,1.5707963267948966,0.7853981633974483,(-4.174115934146849e-08+3.2168102728422077e-08j),(7.429196140391892e-08+7.436495830364939e-11j),(-0.9175727611794559-0.320613514768664j),(0.0004839472183707748+0.00028863777516419044j),(-0.0010229096056970435+2.0242370910059332e-11j),(-0.9427680751176594+0.2065364854480338j),(-0.0011267725613661322+0.00012729667498935764j),(0.002150308778588699+7.515076453695881e-11j),(-0.9859723630705098+0.11757932946622175j),(0.0005658152058603365-5.0473210498142886e-05j),(-0.0011275554057444135+3.499768936760291e-11j)
DS-p,1e-11,51,35.0,35.0,104.3,2.0,1.5707963267948966,0.7853981633974483,(-4.1680570855850974e-08+3.222751681318525e-08j),(7.401238309376335e-08+6.728335372824293e-11j),(-0.9177265902240135-0.3203349157900884j),(0.00048317894721499124+0.00028784110876951493j),(-0.0010211652552446562+1.5608562113247403e-11j),(-0.9428747381253648+0.2063584126629863j),(-0.0011246378573630013+0.00012693151862118706j),(0.002146427237102358+6.809727839002623e-11j),(-0.9859991058448818+0.11746883526703565j),(0.0005647384276510244-5.032890971846818e-05j),(-0.0011254174352757123+3.037428333181099e-11j)
DS-p,1e-11,51,35.0,35.0,104.4,2.0,1.5707963267948966,0.7853981633974483,(-4.155304665284798e-08+3.205378561795674e-08j),(7.371665351751933e-08+6.760455198026069e-11j),(-0.917879993160178-0.32005676964241825j),(0.0004824123119271783+0.00028704707128093896j),(-0.001019425132657223+1.5805794594302494e-11j),(-0.94298110621602+0.20618062508487806j),(-0.00112250920856663+0.0001265677401112112j),(0.0021425557277910904+6.84188435853605e-11j),(-0.9860257723193395+0.11735854638091951j),(0.0005636647306466354-5.018494153612423e-05j),(-0.0011232855255682364+3.060424766141908e-11j)
DS-p,1e-11,51,35.0,35.0,104.5,2.0,1.5707963267948966,0.7853981633974483,(-4.141546844360633e-08+3.188391113888994e-08j),(7.343706492392299e-08+6.79597025616012e-11j),(-0.9180329715709696-0.319779075333217j),(0.0004816472998500215+0.00028625591874384274j),(-0.0010176891943096539+1.602177264407977e-11j),(-0.9430871804963947+0.2060031221161258j),(-0.0011203865621440805+0.00012620534646105158j),(0.002138694459026943+6.87753766996593e-11j),(-0.9860523628217867+0.11724846224243428j),(0.0005625940918600296-5.004152022393708e-05j),(-0.0011211596393927454+3.084243122218893e-11j)
DS-p,1e-11,51,35.0,35.0,104.6,2.0,1.5707963267948966,0.7853981633974483,(-4.130872409760511e-08+3.181309398293114e-08j),(7.316296195269967e-08+6.492843540199668e-11j),(-0.9181855272210819-0.3195018319467505j),(0.0004808838871231437+0.0002854677512485633j),(-0.0010159574379315778+1.3994062488729303e-11j),(-0.9431929622627427+0.2058259031888012j),(-0.001118269901844507+0.00012584433524724745j),(0.002134843181369245+6.57522440925519e-11j),(-0.9860788778876926+0.11713858232185771j),(0.0005615264814073859-4.989874124933756e-05j),(-0.0011190397596639165+2.901290541110398e-11j)
