form,rtol,a1,a2,omega1,omega2,phi,N,square,chi,gamma,triangle,alpha,tilde,star,beta,rho,epsilon,delta
DS-p,1e-11,35.0,35.0,9.7,19.4,1.5707963267948966,51,(-1.0811542299989964e-10+7.025281835593567e-10j),(1.2654485144514052e-10-4.341905238397738e-11j),(-0.34740133899157655-0.178553375932817j),(-5.679781941400923e-10+6.754273893299706e-10j),(-2.769968764180109e-10-1.1061666167104215e-10j),(-0.5559152882695861-0.1422121882746631j),(-7.357806826378648e-10+3.152720922869334e-11j),(-2.4404864609230137e-10-9.860385595869624e-11j),(0.08409863449528544+0.3259994084705961j),(-3.626574266585303e-10-8.40694059506264e-11j),(4.633948086363304e-11-3.1255828961374924e-11j)
DS-p,1e-11,35.0,35.0,9.8,19.6,1.5707963267948966,51,(-1.0042851102056057e-10+7.154287096995855e-10j),(1.2583940097701514e-10-4.324533997392054e-11j),(-0.3507933540870748-0.16354324254488267j),(-5.67370243120108e-10+7.002657862010078e-10j),(-2.957470210569746e-10-1.0990766724817711e-10j),(-0.5591066814253894-0.14903146189087035j),(-7.384880884705926e-10+1.535571886659981e-11j),(-2.5778689903208085e-10-9.790907230756515e-11j),(0.08042836334958484+0.3379106123485602j),(-3.7774854251548806e-10-8.943056191423882e-11j),(4.64667401778307e-11-3.200801510292218e-11j)
DS-p,1e-11,35.0,35.0,9.9,19.8,1.5707963267948966,51,(-8.728660566418352e-11+7.213090604306718e-10j),(1.2872781623808808e-10-4.334313650315509e-11j),(-0.3529832112887208-0.1486395893635686j),(-5.598297657867263e-10+7.265548383333107e-10j),(-3.136448308916403e-10-1.1002012415063378e-10j),(-0.5615802449381779-0.15581307178960796j),(-7.389560081460383e-10-2.9659287179018e-12j),(-2.760695110015643e-10-9.73113216104417e-11j),(0.07643217130962554+0.3495452963912283j),(-3.832478457851951e-10-1.0379209818001112e-10j),(4.6657976093822384e-11-3.242253351814665e-11j)
DS-p,1e-11,35.0,35.0,10.0,20.0,1.5707963267948966,51,(-8.666157629835455e-11+7.398845994698814e-10j),(1.266959468654321e-10-4.2925695687502116e-11j),(-0.3540245485443285-0.1339257292721714j),(-5.452334692574248e-10+7.403367225500669e-10j),(-3.174653944674338e-10-1.0822030091569048e-10j),(-0.5633673244067441-0.16250822822970729j),(-7.200832979480272e-10-2.2797212902159192e-11j),(-2.7121323329520886e-10-9.498828603607834e-11j),(0.07213083875034212+0.3609008003955726j),(-3.7567305299565645e-10-1.171799879351454e-10j),(4.602707104339743e-11-3.228404018773278e-11j)
DS-p,1e-11,35.0,35.0,10.1,20.2,1.5707963267948966,51,(-7.361817381287654e-11+7.543430911756139e-10j),(1.2038769775085944e-10-4.240679961117685e-11j),(-0.35397435787820025-0.11947617864874362j),(-5.295906375585367e-10+7.604851357647443e-10j),(-3.1959470589730185e-10-1.0682681050843959e-10j),(-0.5645011248979386-0.16907321115153984j),(-7.104992630476911e-10-3.9941274246335645e-11j),(-2.7207391201100606e-10-9.323225647457344e-11j),(0.06754424561454035+0.3719753952997552j),(-3.888254744219277e-10-1.2009774424948105e-10j),(5.032293332041249e-11-3.242889213313718e-11j)
DS-p,1e-11,35.0,35.0,10.2,20.4,1.5707963267948966,51,(-6.970257288290305e-11+7.468828809408098e-10j),(1.1569563966051922e-10-4.1814814416847e-11j),(-0.35289204282509773-0.10535702022273065j),(-5.17552229795348e-10+7.673292193125251e-10j),(-3.229575700294286e-10-1.0610043502902026e-10j),(-0.5650161887047191-0.17546917142365792j),(-7.002388486762601e-10-5.386924023173534e-11j),(-2.695448486807195e-10-9.171393882161057e-11j),(0.06269139697228933+0.3827681855351064j),(-3.8604456957525013e-10-1.2606120140812305e-10j),(4.790046831404382e-11-3.228164825381882e-11j)
DS-p,1e-11,35.0,35.0,10.3,20.6,1.5707963267948966,51,(-5.979097022991344e-11+7.732051455907284e-10j),(1.1273486438974786e-10-4.198535557714233e-11j),(-0.35083858650725314-0.09162631578767018j),(-5.133665907875113e-10+8.008215960820402e-10j),(-3.26266417637229e-10-1.0683714285974554e-10j),(-0.5649479330557037-0.18166190168024993j),(-7.040948979452136e-10-7.012615097987118e-11j),(-2.7555853649233186e-10-9.207577115640521e-11j),(0.05759044965742098+0.39327902096871514j),(-4.053214322334575e-10-1.3057119968573616e-10j),(4.9850998329326046e-11-3.303385348450201e-11j)
DS-p,1e-11,35.0,35.0,10.4,20.8,1.5707963267948966,51,(-3.9331164938967954e-11+7.936668823946204e-10j),(1.1207305114371177e-10-4.1285162523035115e-11j),(-0.34787582324044436-0.07833455361379815j),(-4.916732550340041e-10+8.095170508759357e-10j),(-3.2770550455109987e-10-1.0527280224247474e-10j),(-0.5643322442494052-0.1876215853422199j),(-6.820022056862676e-10-8.69553816972013e-11j),(-2.734198709455904e-10-8.982373542900686e-11j),(0.05225873939944801+0.4035084174180732j),(-3.905328014100484e-10-1.42417681814333e-10j),(5.211227283030695e-11-3.257161291704422e-11j)
DS-p,1e-11,35.0,35.0,10.5,21.0,1.5707963267948966,51,(-2.330407077705786e-11+8.029231095405996e-10j),(1.1328786557897642e-10-4.095911341529345e-11j),(-0.344065807718596-0.06552511797322043j),(-4.789203504327916e-10+8.318965474845468e-10j),(-3.332786617754428e-10-1.054161364021609e-10j),(-0.5632051252949496-0.1933225315115391j),(-6.692778789941373e-10-1.0194813352890075e-10j),(-2.784633313865359e-10-8.951385899737721e-11j),(0.04671280814588308+0.41345748479386085j),(-3.7448438208916024e-10-1.5871487110685756e-10j),(5.319378271195774e-11-3.259822006642002e-11j)
DS-p,1e-11,35.0,35.0,10.6,21.2,1.5707963267948966,51,(-1.9065561656555e-11+7.970556090040545e-10j),(1.0543104065833754e-10-4.0402731304203435e-11j),(-0.3394702740843299-0.05323476998311933j),(-4.683961823953716e-10+8.46947623789156e-10j),(-3.334067031788776e-10-1.0501369139111165e-10j),(-0.5616023925397717-0.19874290176996937j),(-6.645141565914808e-10-1.1336123055885605e-10j),(-2.777326498122623e-10-8.8962569044299e-11j),(0.04096843132959464+0.42312786201748737j),(-3.970776520090258e-10-1.55637377985407e-10j),(5.140350645138625e-11-3.296976328501018e-11j)
DS-p,1e-11,35.0,35.0,10.7,21.4,1.5707963267948966,51,(-2.18874522184883e-11+7.960885965621855e-10j),(1.0011857877889545e-10-4.0114374033496966e-11j),(-0.3341501774276448-0.04149413094704998j),(-4.617102332784336e-10+8.606088591062416e-10j),(-3.3094796374937355e-10-1.0586422488638827e-10j),(-0.559559418032047-0.20386443445538543j),(-6.639720433621737e-10-1.2321279933835694e-10j),(-2.754610237826194e-10-8.896475850513679e-11j),(0.03504064484857635+0.4325216582118335j),(-3.9698407885632725e-10-1.602290106150761e-10j),(4.8298795518597615e-11-3.3281345811621456e-11j)
DS-p,1e-11,35.0,35.0,10.8,21.6,1.5707963267948966,51,(7.082260071369223e-12+8.313867504324262e-10j),(1.0249119694113334e-10-4.015845601317946e-11j),(-0.3281653102905959-0.030328160921717907j),(-4.5314747506246646e-10+8.972664586288448e-10j),(-3.34236771614739e-10-1.0662078731754095e-10j),(-0.5571109131997025-0.2086721705713645j),(-6.583506528563127e-10-1.3815085577253972e-10j),(-2.8256738919194e-10-8.943593461635392e-11j),(0.02894377171570163+0.44164139935148644j),(-4.0652458309364814e-10-1.6753922207901617e-10j),(5.0966765530180425e-11-3.362640576292861e-11j)
DS-p,1e-11,35.0,35.0,10.9,21.8,1.5707963267948966,51,(1.0902322339183257e-11+8.48590558795184e-10j),(9.582705785765495e-11-4.033540148306008e-11j),(-0.32157398628324146-0.019756626901275963j),(-4.5290297272064517e-10+9.354865603068327e-10j),(-3.34796735690715e-10-1.0868444542312477e-10j),(-0.5542907497879019-0.21315418481441567j),(-6.626039005669382e-10-1.5509605188687714e-10j),(-2.8323917473579985e-10-9.108501705215381e-11j),(0.022691448096727046+0.4504899798016414j),(-4.209053428060397e-10-1.7435647370334095e-10j),(5.3353502171837874e-11-3.442619031498066e-11j)
DS-p,1e-11,35.0,35.0,11.0,22.0,1.5707963267948966,51,(1.2264874147760799e-11+8.414857290133981e-10j),(9.092157794116973e-11-3.966935119733632e-11j),(-0.31443278424574805-0.009794555890224781j),(-4.4153861384450214e-10+9.422946662724805e-10j),(-3.4026071440680997e-10-1.0891603729642204e-10j),(-0.5511318144385506-0.21730132445796313j),(-6.508868457232031e-10-1.6414026604918974e-10j),(-2.8491389369306175e-10-9.057068612615799e-11j),(0.01629664891242151+0.4590706183763944j),(-4.0485983478482507e-10-1.8327556486341656e-10j),(5.320760498861432e-11-3.424465174887417e-11j)
DS-p,1e-11,35.0,35.0,11.1,22.2,1.5707963267948966,51,(4.379170024651144e-11+8.875113787333924e-10j),(9.095422128504386e-11-3.999836433967026e-11j),(-0.30679634568421943-0.00045266973957936503j),(-4.299887118185044e-10+9.92061041822645e-10j),(-3.389142014991256e-10-1.1249188574521472e-10j),(-0.5476658931179678-0.22110695822472806j),(-6.675403038496064e-10-1.856605364239372e-10j),(-2.8759362686453516e-10-9.302200497539133e-11j),(0.009771712769598524+0.4673868183996228j),(-4.345518571716167e-10-1.930024057239521e-10j),(5.733139657460029e-11-3.571649182913589e-11j)
DS-p,1e-11,35.0,35.0,11.2,22.4,1.5707963267948966,51,(4.869059018822175e-11+8.688547615988277e-10j),(8.518393787293533e-11-3.851507133820446e-11j),(-0.2987172192438635+0.008262200810534399j),(-4.0593658875943614e-10+9.785682483786935e-10j),(-3.3575333789268025e-10-1.1059331361098609e-10j),(-0.5439235817140993-0.2245667365074872j),(-6.39431868131729e-10-1.8923518828317665e-10j),(-2.79464304996091e-10-9.081494228043796e-11j),(0.0031283662917154335+0.4754423312776592j),(-4.0048616236720933e-10-1.998432114236337e-10j),(5.724980906007815e-11-3.484758288217281e-11j)
DS-p,1e-11,35.0,35.0,11.3,22.6,1.5707963267948966,51,(5.7589371856361926e-11+8.779409769774202e-10j),(8.322894475084502e-11-3.8137793803326064e-11j),(-0.29024574642463014+0.016346724520151366j),(-3.9960914940029464e-10+1.001811594293113e-09j),(-3.3953926649454846e-10-1.1206896889270441e-10j),(-0.5399342199692537-0.2276783642323788j),(-6.373423533725942e-10-2.0096609532754828e-10j),(-2.8307190012150096e-10-9.160366331635165e-11j),(-0.003622252188165683+0.4832411234431868j),(-4.0469017590152867e-10-2.0601117339813513e-10j),(5.640174438603651e-11-3.5224501509420294e-11j)
DS-p,1e-11,35.0,35.0,11.4,22.8,1.5707963267948966,51,(7.308600393721859e-11+8.848070418365577e-10j),(7.847454069994286e-11-3.749409183471186e-11j),(-0.2814299829193944+0.023800701439330395j),(-3.820109233012691e-10+1.0212922318009621e-09j),(-3.193591160835854e-10-1.1207057987470427e-10j),(-0.535725845344342-0.23044138677426168j),(-6.285820089262095e-10-2.0979909042678768e-10j),(-2.677687550856067e-10-9.149653600178265e-11j),(-0.010469569567621151+0.49078734619256487j),(-4.186706621580466e-10-2.0172600742607294e-10j),(5.1902385167501564e-11-3.5478320256958115e-11j)
DS-p,1e-11,35.0,35.0,11.5,23.0,1.5707963267948966,51,(9.081408308729902e-11+8.950323303615298e-10j),(7.480135082894851e-11-3.689225754466288e-11j),(-0.27231565064732893+0.030626718480733853j),(-3.665789809019753e-10+1.0397399762858547e-09j),(-3.1399692969422827e-10-1.1278686416618199e-10j),(-0.5313251643008692-0.23285698945666028j),(-6.189814368527669e-10-2.1806733068591155e-10j),(-2.6452554296313435e-10-9.169463751948268e-11j),(-0.01740355557948457+0.4980853082473208j),(-4.086071596094004e-10-2.066289570001878e-10j),(5.4135099181173985e-11-3.56548186204546e-11j)
