"form","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"OSC-mathematica",35,13.599999999999966,1.0471975511965976,51,0.05184657383430934-0.07217017701105681*I,-0.008999748058701166-7.322518055949419*^-7*I,0.004283599917905535-4.5043177324876306*^-8*I,0.006006063719512211+0.03531106137026638*I,0.004283599917362765-3.9515087210700324*^-8*I
"OSC-mathematica",35,13.699999999999966,1.0471975511965976,51,0.04521677899424613-0.06589862500411643*I,-0.008246231125145121-7.396374166808156*^-7*I,0.003903078061157427-4.490401292340784*^-8*I,0.006149137438226894+0.035322172776061096*I,0.0039030780611994283-3.9990437364394374*^-8*I
"OSC-mathematica",35,13.799999999999965,1.0471975511965976,51,0.038842996124701004-0.05945470973642213*I,-0.007465326814743481-7.688272335139675*^-7*I,0.0035088702207952682-4.3312395606740825*^-8*I,0.00629757616370151+0.03532348039918878*I,0.003508870223645981-3.8994871546225046*^-8*I
"OSC-mathematica",35,13.899999999999965,1.0471975511965976,51,0.03272410671205301-0.05285011968633461*I,-0.006659580309920057-8.943253258771426*^-7*I,0.003102449232215875-4.463415705735955*^-8*I,0.006451543394429822+0.0353151624076868*I,0.003102449216106952-4.078819523256136*^-8*I
"OSC-mathematica",35,13.999999999999964,1.0471975511965976,51,0.02685999470898826-0.046099034756404464*I,-0.0058319956919706106-1.111585823448545*^-6*I,0.0026851401290217264-4.855230418081264*^-8*I,0.006608860452451589+0.03529640076247286*I,0.0026851401226605197-4.6951199786873605*^-8*I
"OSC-mathematica",35,14.099999999999964,1.0471975511965976,51,0.021249615327093047-0.03921390115498068*I,-0.004984643193500963-1.1100306088676512*^-6*I,0.002258195143923253-4.924018935521813*^-8*I,0.0067692453306567365+0.03526835488371367*I,0.002258195143617806-4.812164747809568*^-8*I
"OSC-mathematica",35,14.199999999999964,1.0471975511965976,51,0.01589174321770437-0.03220639436273905*I,-0.004119993323963782-1.443016523535048*^-6*I,0.0018228865277275762-6.424217537949395*^-8*I,0.00693213413608296+0.035230426383669834*I,0.0018228865307217054-6.363963412172827*^-8*I
"OSC-mathematica",35,14.299999999999963,1.0471975511965976,51,0.010783609300191645-0.025087828173745146*I,-0.0032427296752999164-4.621213744464373*^-7*I,0.0013802886712114583-2.3603938703010996*^-8*I,0.007098954640166072+0.03518479651979713*I,0.0013802886694062912-2.3901843746180447*^-8*I
"OSC-mathematica",35,14.399999999999963,1.0471975511965976,51,0.005923901287848008-0.01786953107194452*I,-0.0023506105074521076-4.2580480589854703*^-7*I,0.0009314982576055335-2.300800807939205*^-8*I,0.007266521032236645+0.035129990759136795*I,0.0009314982547590916-2.1401162041893415*^-8*I
"OSC-mathematica",35,14.499999999999963,1.0471975511965976,51,0.001310122426296873-0.010561186900317782*I,-0.001447776372798348-4.1656831540355964*^-7*I,0.00047750608743115167-2.2462560307958425*^-8*I,0.007435622446372765+0.03506676588457991*I,0.00047750608754729834-2.121153587739561*^-8*I
"OSC-mathematica",35,14.599999999999962,1.0471975511965976,51,-0.0030611626823454346-0.0031740967158304942*I,-0.0005362900804365353-3.88993188120474*^-7*I,0.000019341442262382075-2.1699278981542673*^-8*I,0.00760615131004684+0.03499554178005908*I,0.000019341443734676583-2.0784095805280437*^-8*I
"OSC-mathematica",35,14.699999999999962,1.0471975511965976,51,-0.0071928183545603265+0.004282694412226209*I,0.00038221645061258425-3.948082670213429*^-7*I,-0.00044214665585219984-2.324992740835311*^-8*I,0.0077771567578734475+0.034916401155579375*I,-0.00044214665697481573-2.2668764307604637*^-8*I
"OSC-mathematica",35,14.799999999999962,1.0471975511965976,51,-0.011087760248556818+0.01180011160452817*I,0.001304387457372248-7.718791985652159*^-7*I,-0.0009060517741200196-3.665372415095027*^-8*I,0.007948402129562286+0.0348294934277228*I,-0.0009060517730653493-3.638023489299237*^-8*I
"OSC-mathematica",35,14.899999999999961,1.0471975511965976,51,-0.014749654455959538+0.019368934509764773*I,0.00223149703655388-7.410762945553606*^-7*I,-0.001371699157414516-3.341140363145171*^-8*I,0.008118423984545072+0.034735959928654477*I,-0.0013716991591518589-3.340199525517024*^-8*I
"OSC-mathematica",35,14.999999999999961,1.0471975511965976,51,-0.018182025898983656+0.0269816789767669*I,0.0031608441254240617-5.630698896976147*^-7*I,-0.001838285461395351-2.2765038891883595*^-8*I,0.00829002370589627+0.03463491511574473*I,-0.001838285464839877-2.3101000140274515*^-8*I
"OSC-mathematica",35,15.09999999999996,1.0471975511965976,51,-0.021388628683152472+0.03463023260586502*I,0.004091463194102657-2.951714648435694*^-7*I,-0.0023050722414830367-9.653855936435434*^-9*I,0.008462163347047193+0.034527145342851506*I,-0.002305072244002799-1.2377695299315222*^-8*I
"OSC-mathematica",35,15.19999999999996,1.0471975511965976,51,-0.024373453850864698+0.04230652437553097*I,0.0050208256662304315-2.0285925448468287*^-7*I,-0.0027714220252379393-6.442362942345816*^-9*I,0.008632159491773272+0.03441334300102162*I,-0.0027714220320474506-1.0180930952412635*^-8*I
"OSC-mathematica",35,15.29999999999996,1.0471975511965976,51,-0.027140491900472918+0.050003534504941646*I,0.005949532763213189-2.965682316975921*^-7*I,-0.0032367590665555723-1.055325421511969*^-8*I,0.008800741848254206+0.03429331356346091*I,-0.0032367590694120513-1.359853008339287*^-8*I
"OSC-mathematica",35,15.39999999999996,1.0471975511965976,51,-0.029693932881675298+0.05771455720581781*I,0.006874623975531546-2.757482428754996*^-7*I,-0.0037005099636503516-1.1892611559599104*^-8*I,0.008968083925347155+0.03416728072770306*I,-0.0037005099666254405-1.3277284640496534*^-8*I
"OSC-mathematica",35,15.49999999999996,1.0471975511965976,51,-0.032037677818111295+0.06543301945967002*I,0.007795692858095069-2.2126050464757383*^-7*I,-0.0041621416925865795-9.129778334815135*^-9*I,0.00913396254377202+0.034035698981787536*I,-0.0041621416839752075-1.0733876673043136*^-8*I
"OSC-mathematica",35,15.599999999999959,1.0471975511965976,51,-0.03417608670207618+0.07315280219998563*I,0.008711905867088194-6.238683113375399*^-7*I,-0.004621178787253016-2.6765125736558316*^-8*I,0.009297954368115856+0.03389861452885484*I,-0.004621178754294016-2.8482416354488023*^-8*I
"OSC-mathematica",35,15.699999999999958,1.0471975511965976,51,-0.03611355426643221+0.08086807233865333*I,0.009622585073727354-6.060572752165336*^-7*I,-0.00507714674092645-2.527433707893673*^-8*I,0.009460020253848445+0.03375662612807278*I,-0.0050771467674291595-2.7173728464506663*^-8*I
"OSC-mathematica",35,15.799999999999958,1.0471975511965976,51,-0.03785441924408755+0.08857363544271092*I,0.01052620145617213-5.39827343832689*^-7*I,-0.005529628296729445-2.753593667208953*^-8*I,0.009620881196572275+0.03360982985137524*I,-0.005529628297643866-2.971563288951439*^-8*I
"OSC-mathematica",35,15.899999999999958,1.0471975511965976,51,-0.03940314032486893+0.09626355697851896*I,0.01142232468405164-5.560621708651134*^-7*I,-0.005978246064343325-2.2228194152205906*^-8*I,0.009778612914057773+0.03345827290012454*I,-0.0059782460858530916-2.8146849057605075*^-8*I
"OSC-mathematica",35,15.999999999999957,1.0471975511965976,51,-0.04076380909661369+0.10393359157811384*I,0.012310262062886254-5.500803538406011*^-7*I,-0.006422684227902067-2.740974263158818*^-8*I,0.009934331240033147+0.033302200816667356*I,-0.0064226842337901345-2.9964572973275585*^-8*I
"OSC-mathematica",35,16.09999999999996,1.0471975511965976,51,-0.04194109062813801+0.11157878114482535*I,0.013189364411592554-5.804117958328719*^-7*I,-0.006862568420247295-2.8587641481685276*^-8*I,0.010087321241827575+0.033142037124445974*I,-0.006862568421340674-3.133422047563282*^-8*I
"OSC-mathematica",35,16.19999999999996,1.0471975511965976,51,-0.04293905136032502+0.11919490080763845*I,0.014058523717370139-7.048790745249325*^-8*I,-0.007297623806036227-4.031956183736463*^-9*I,0.010237693901020674+0.03297785340728796*I,-0.007297623807110069-6.966030414445896*^-9*I
"OSC-mathematica",35,16.29999999999996,1.0471975511965976,51,-0.04376227768990177+0.12677783277354002*I,0.014918080069415578-5.974603528692543*^-8*I,-0.007727578885010775-3.429342867455805*^-9*I,0.01038579924571065+0.0328099840371837*I,-0.007727578885628344-6.507394551956644*^-9*I
"OSC-mathematica",35,16.399999999999963,1.0471975511965976,51,-0.04441510580642691+0.13432364434094154*I,0.015768153969408515-5.39302482234552*^-7*I,-0.008152180854650207-2.4534668283895663*^-8*I,0.01053105971694073+0.03263858455328198*I,-0.008152180854581487-2.7744400585809113*^-8*I
"OSC-mathematica",35,16.499999999999964,1.0471975511965976,51,-0.04490189434107871+0.141828647477401*I,0.016606477255968907-5.539401190565585*^-7*I,-0.008571221927451595-2.3639421674079446*^-8*I,0.010673523627410817+0.032463764591872925*I,-0.008571221927266448-2.7018216807666946*^-8*I
"OSC-mathematica",35,16.599999999999966,1.0471975511965976,51,-0.04522695816247374+0.14928945733379342*I,0.01743346099690266-5.643350443411534*^-7*I,-0.008984487688378676-1.7712115032990865*^-8*I,0.010813380111667097+0.03228593245626927*I,-0.008984487688311157-2.443819700674643*^-8*I
"OSC-mathematica",35,16.699999999999967,1.0471975511965976,51,-0.04539498482749192+0.15670187024441817*I,0.018248137455676192-4.659629035207146*^-7*I,-0.009391730393053643-2.3182510973796734*^-8*I,0.010951012240269618+0.03210544363400059*I,-0.009391730393212346-2.969740532686215*^-8*I
"OSC-mathematica",35,16.79999999999997,1.0471975511965976,51,-0.045409504728756794+0.16406610680567704*I,0.019052138860165668-2.862040430015174*^-7*I,-0.00979288214787754-1.170371906900793*^-8*I,0.011084453640351334+0.031922091360423385*I,-0.009792882148046085-1.73049285429349*^-8*I
"OSC-mathematica",35,16.89999999999997,1.0471975511965976,51,-0.04527498753999897+0.17137629904066518*I,0.01984233778022035-2.0295382234625915*^-7*I,-0.010187754312449487-1.0001437311764068*^-8*I,0.011215405142704556+0.03173602554738521*I,-0.01018775431186306-1.585351124808126*^-8*I
"OSC-mathematica",35,16.99999999999997,1.0471975511965976,51,-0.0449956033063748+0.17863065000652792*I,0.020620144506744965-1.914955364865394*^-7*I,-0.010576272725649382-8.0146199690366*^-9*I,0.011342911316826468+0.031547528325214444*I,-0.010576272725942054-1.3249577507150376*^-8*I
"OSC-mathematica",35,17.099999999999973,1.0471975511965976,51,-0.044575561441779786+0.18582690576181604*I,0.021385245310102167-1.443946097702481*^-7*I,-0.010958260382692448-8.394431001838385*^-9*I,0.011467846883568326+0.03135703576929526*I,-0.010958260382586005-1.2676118369331814*^-8*I
"OSC-mathematica",35,17.199999999999974,1.0471975511965976,51,-0.04401881066800614+0.192962887042976*I,0.022137349528650475-1.0845126639763385*^-7*I,-0.011333662948655659-7.183241767731689*^-9*I,0.011589700613802292+0.031164426552165093*I,-0.011333662948268264-1.1648476581702135*^-8*I
"OSC-mathematica",35,17.299999999999976,1.0471975511965976,51,-0.043329122291553224+0.20003511930897702*I,0.022876229984796593-9.521738191367486*^-8*I,-0.011702394298720876-8.523690972199148*^-9*I,0.011708574041907201+0.030969940558189715*I,-0.011702394298558527-1.3217724978973874*^-8*I
"OSC-mathematica",35,17.399999999999977,1.0471975511965976,51,-0.042511219478754775+0.20704411698914885*I,0.023601733705068198-8.732727417147764*^-8*I,-0.012064399149617225-8.769609613769338*^-9*I,0.0118244028949984+0.03077366228463096*I,-0.012064399149218814-1.365765159450933*^-8*I
"OSC-mathematica",35,17.49999999999998,1.0471975511965976,51,-0.04156882497292988+0.21398807242428833*I,0.024315148817650657-3.3634167638869717*^-7*I,-0.01241959526581636-1.973871528409521*^-8*I,0.011936752177540458+0.030575773394102543*I,-0.012419595265910643-2.4800352328747612*^-8*I
"OSC-mathematica",35,17.59999999999998,1.0471975511965976,51,-0.040504721675221754+0.2208635497550442*I,0.025013558876242743-4.058478442142118*^-7*I,-0.012768030964642282-3.432305918092588*^-8*I,0.012046761162724748+0.030376127150329953*I,-0.012768030964412473-3.955196472402083*^-8*I
"OSC-mathematica",35,17.69999999999998,1.0471975511965976,51,-0.039323486938042565+0.22766947977426866*I,0.02569760927187533-1.519792593849895*^-7*I,-0.01310947381853143-1.4647334007531795*^-8*I,0.012152717867943127+0.030175704400842687*I,-0.013109473818759088-2.003077631793569*^-8*I
"OSC-mathematica",35,17.799999999999983,1.0471975511965976,51,-0.03802872702458876+0.23440476963577694*I,0.026370093155565974-1.673809940383482*^-7*I,-0.013444025735942704-9.51644639169206*^-9*I,0.012255357934919758+0.029974160583603467*I,-0.013444025735954167-1.5067909762843196*^-8*I
"OSC-mathematica",35,17.899999999999984,1.0471975511965976,51,-0.03662386968369461+0.24106827409159973*I,0.027027802163563302-1.6352726921792575*^-7*I,-0.013771760034052755-8.065763111682735*^-9*I,0.012355675517757935+0.02977127174391508*I,-0.013771760034117043-1.3766094347571045*^-8*I
"OSC-mathematica",35,17.999999999999986,1.0471975511965976,51,-0.03511251896532462+0.24765925199229646*I,0.027670716603129343-1.4386557442658238*^-7*I,-0.01409257584804299-1.3709056600675332*^-8*I,0.01245336348655849+0.029567314076884153*I,-0.014092575848034965-2.138319497830698*^-8*I
"OSC-mathematica",35,18.099999999999987,1.0471975511965976,51,-0.03349853943348899+0.2541762765826654*I,0.028303033902944454-2.945020129114595*^-7*I,-0.014406230261980492-3.0947019983139543*^-8*I,0.012548086859421935+0.029363864004574455*I,-0.014406230261937287-3.86440267113793*^-8*I
"OSC-mathematica",35,18.19999999999999,1.0471975511965976,51,-0.03178483689087867+0.2606181416512694*I,0.028919787680964516-1.6809741763652896*^-7*I,-0.014713408759071688-6.226151073972381*^-9*I,0.012637805637146993+0.029157743217810922*I,-0.014713408759249744-1.3959773598664561*^-8*I
"OSC-mathematica",35,18.29999999999999,1.0471975511965976,51,-0.029974762720599454+0.2669849778369868*I,0.029521149996008616-1.4006656646021398*^-7*I,-0.015013629626503745-1.535728295416046*^-8*I,0.012726972376745+0.028951806281529796*I,-0.015013629626543602-2.3149723994943425*^-8*I
"OSC-mathematica",35,18.39999999999999,1.0471975511965976,51,-0.028071867594627178+0.2732754168624263*I,0.030110662099163406-1.5638174474530752*^-7*I,-0.015306964032781822-1.5295868788872357*^-8*I,0.012812246190116887+0.028745511869896673*I,-0.015306964032813425-2.31593217972397*^-8*I
"OSC-mathematica",35,18.499999999999993,1.0471975511965976,51,-0.026079280669403675+0.2794890338297816*I,0.030687388794225893-1.8753834399255233*^-7*I,-0.015593515975457519-1.4217711867540198*^-8*I,0.012894611279238171+0.028538790137217857*I,-0.015593515975633462-2.2162142963445406*^-8*I
"OSC-mathematica",35,18.599999999999994,1.0471975511965976,51,-0.02400011257933353+0.28562531270560404*I,0.031250217503032605-2.0521048383567567*^-7*I,-0.01587326824594244-1.3850858619410674*^-8*I,0.012973875545267539+0.028331955189412155*I,-0.015873268245982196-2.1900161060373186*^-8*I
"OSC-mathematica",35,18.699999999999996,1.0471975511965976,51,-0.021837358592836798+0.29168393753168587*I,0.03179905170283694-1.9312965405065905*^-7*I,-0.016146362635387344-1.3460227988656514*^-8*I,0.013050513895614261+0.02812470588615705*I,-0.016146362635630414-2.2016187985302053*^-8*I
"OSC-mathematica",35,18.799999999999997,1.0471975511965976,51,-0.019594210074603203+0.2976645021061136*I,0.032333768009977226-1.294562756327366*^-7*I,-0.016412781363263698-9.530423873586667*^-9*I,0.013124288356761082+0.027917335600448404*I,-0.01641278136317838-1.8054025101803254*^-8*I
"OSC-mathematica",35,18.9,1.0471975511965976,51,-0.017273468372872556+0.30356674728466715*I,0.03285888660075535-1.4086379178702775*^-7*I,-0.016672603466191913-1.130860133156334*^-8*I,0.013195347890483471+0.02770998717423293*I,-0.016672603466096243-1.982507278234764*^-8*I
"OSC-mathematica",35,19.,1.0471975511965976,51,-0.014877885029803547+0.3093902675007717*I,0.03336876412320438-2.1603258934117977*^-7*I,-0.016925874610517044-1.5743698667521994*^-8*I,0.013263665390423484+0.027502751024855884*I,-0.016925874610655395-2.4269316862984214*^-8*I
"OSC-mathematica",35,19.1,1.0471975511965976,51,-0.012410187827143178+0.31513518821700204*I,0.03386298722956467-1.9788712660574136*^-7*I,-0.01717274837223598-9.490247069946386*^-9*I,0.013328895416459369+0.02729527551305106*I,-0.017172748372167042-1.8032942563674554*^-8*I
"OSC-mathematica",35,19.200000000000003,1.0471975511965976,51,-0.009873467749446368+0.32080157882716964*I,0.0343469540242058-1.9452459734103357*^-7*I,-0.017413073512922855-1.57344202983932*^-8*I,0.013392026583023388+0.027088486529559766*I,-0.017413073512860373-2.431466718540189*^-8*I
"OSC-mathematica",35,19.300000000000004,1.0471975511965976,51,-0.00726961927993118+0.3263886737834597*I,0.03481854557473848-1.8887300389973228*^-7*I,-0.01764700420141611-1.7761006955869932*^-8*I,0.01345245971706582+0.02688206318558496*I,-0.01764700420137607-2.6390978614134053*^-8*I
"OSC-mathematica",35,19.400000000000006,1.0471975511965976,51,-0.004603150381802388+0.33189800890654403*I,0.035277181470258656-2.1056418361006164*^-7*I,-0.017874815314566403-1.57057817406911*^-8*I,0.013509811363919289+0.026675482634002576*I,-0.01787481531449141-2.4394882611559118*^-8*I
"OSC-mathematica",35,19.500000000000007,1.0471975511965976,51,-0.0018745167629691361+0.337328372768599*I,0.03572372345115335-2.0614878159330584*^-7*I,-0.018096338696490095-1.703723956736819*^-8*I,0.013565063281572516+0.026469623142151812*I,-0.01809633869644095-2.5794517674681627*^-8*I
"OSC-mathematica",35,19.60000000000001,1.0471975511965976,51,0.0009130654079870544+0.3426803128083877*I,0.036158017227279085-2.0744952758322483*^-7*I,-0.01831173794010472-2.2516170037235293*^-8*I,0.013617878314480738+0.026264219474158572*I,-0.018311737940190035-3.134802031006688*^-8*I
"OSC-mathematica",35,19.70000000000001,1.0471975511965976,51,0.003757686732582655+0.34795375159575387*I,0.0365824278243277-3.45750179734822*^-7*I,-0.018520988634793782-4.132619564530708*^-8*I,0.01366821726382609+0.026059542499052978*I,-0.018520988634876074-5.019350995447288*^-8*I
"OSC-mathematica",35,19.80000000000001,1.0471975511965976,51,0.006656066504597025+0.35314948352901965*I,0.036992299819563784-4.4922921009226333*^-7*I,-0.01872423016876691-6.184534614720675*^-8*I,0.013716908880121491+0.02585568827698064*I,-0.018724230168700465-7.082754450371152*^-8*I
"OSC-mathematica",35,19.900000000000013,1.0471975511965976,51,0.009604925308177517+0.3582672847898763*I,0.03738899395797801-3.930624718134065*^-7*I,-0.018921564059899004-2.293933528891966*^-8*I,0.013759873233877713+0.02565231696702205*I,-0.018921564059788558-3.2299069146826566*^-8*I
"OSC-mathematica",35,20.000000000000014,1.0471975511965976,51,0.012604668994728622+0.36330800510032374*I,0.03777657608015583-2.706177022470738*^-7*I,-0.01911299871947592-1.2534149339919367*^-8*I,0.013803398761624107+0.025450128411472855*I,-0.019112998719510315-2.1700228311851434*^-8*I
