"form","a","omega","phi","N","hopping","onsite","next onsite","NNN","NNN overtop"
"OSC-mathematica",35,6.199999999999992,1.0471975511965976,51,-0.00416472219978555-0.05314609405000504*I,-0.016274352010312645+8.126028489336935*^-7*I,0.006641940589890514-6.272687337917745*^-10*I,0.036053433403293415+0.07276119255539984*I,0.006641940589034206+1.2376349367085969*^-8*I
"OSC-mathematica",35,6.299999999999992,1.0471975511965976,51,-0.01233765388381061-0.024108876571307367*I,-0.008918482953255397+4.043770475639479*^-7*I,0.0028107177040230073-2.1703578372050836*^-8*I,0.037628265150009596+0.07254263742518459*I,0.0028107177043189893-6.240095005180525*^-9*I
"OSC-mathematica",35,6.3999999999999915,1.0471975511965976,51,-0.015946038029412395+0.005308595088683439*I,-0.000873171617443655+6.60418752037501*^-7*I,-0.0013530641481222343-1.0350718587401213*^-8*I,0.03919847836962752+0.07193910902802862*I,-0.0013530641481911722+6.836290407569486*^-9*I
"OSC-mathematica",35,6.499999999999991,1.0471975511965976,51,-0.015209200234496586+0.03440616640757265*I,0.007564193154068188-7.143828563614138*^-7*I,-0.0056960562298960064-7.890897639448716*^-8*I,0.040696658517061945+0.0709912114282128*I,-0.005696056229572224-6.05275957855192*^-8*I
"OSC-mathematica",35,6.599999999999991,1.0471975511965976,51,-0.010424435766598525+0.06257910831381647*I,0.016131169693518563-6.277404559482063*^-7*I,-0.010083521106369432-7.343992227639411*^-8*I,0.04207201504120586+0.06974383354970902*I,-0.01008352110714129-5.50907755374019*^-8*I
"OSC-mathematica",35,6.69999999999999,1.0471975511965976,51,-0.0019517865848314854+0.0893215178612854*I,0.024599159600880785-5.388854840276166*^-7*I,-0.014399706057607247-7.261192302412629*^-8*I,0.043285364960372386+0.06824053322814444*I,-0.014399706059646987-5.537843887236874*^-8*I
"OSC-mathematica",35,6.79999999999999,1.0471975511965976,51,0.009808464437616612+0.11421184172574962*I,0.03277378083789319-5.376598689925456*^-7*I,-0.018547499517088024-6.428383950826743*^-8*I,0.04430715305739905+0.06652463117803697*I,-0.01854749951707747-5.0453782767203433*^-8*I
"OSC-mathematica",35,6.89999999999999,1.0471975511965976,51,0.024431790803223313+0.13691929696978244*I,0.040497025814313366-4.645914702806749*^-7*I,-0.022447664213203072-6.592527744187679*^-8*I,0.045118219740249016+0.06464063613257054*I,-0.02244766421200774-5.195922329398945*^-8*I
"OSC-mathematica",35,6.999999999999989,1.0471975511965976,51,0.04148002304705723+0.1571918830805021*I,0.04764244523958802-3.72586974249505*^-7*I,-0.02603809238425814-5.7381697267868727*^-8*I,0.04570678306874783+0.06262884796457412*I,-0.026038092384624276-4.213671428090594*^-8*I
"OSC-mathematica",35,7.099999999999989,1.0471975511965976,51,0.06051418055419609+0.17485277410700065*I,0.054113359839776526-3.415880186786245*^-7*I,-0.029271831567177362-5.884901977817052*^-8*I,0.046068347375963624+0.060527787463291544*I,-0.02927183156719204-4.1407944735428056*^-8*I
"OSC-mathematica",35,7.199999999999989,1.0471975511965976,51,0.0811036654894539+0.18979287908483003*I,0.05984106950144728-2.664604406228769*^-7*I,-0.03211664099654975-6.045452252421757*^-8*I,0.04620556409718925+0.05837261730919451*I,-0.03211664099649526-4.223855698408591*^-8*I
"OSC-mathematica",35,7.299999999999988,1.0471975511965976,51,0.10283373978578693+0.20196377514795888*I,0.06478201376827446-1.8824449364262478*^-7*I,-0.034552111669829175-8.483459810084174*^-8*I,0.04612618138755766+0.056195884089902295*I,-0.034552111669854176-6.673542972428672*^-8*I
"OSC-mathematica",35,7.399999999999988,1.0471975511965976,51,0.12531195791708308+0.21136875510700381*I,0.06891551585548601+1.1238020717795507*^-7*I,-0.03656940435934292-5.767012014914459*^-8*I,0.045836114983977425+0.054024927022204905*I,-0.03656940435934994-3.924761918325024*^-8*I
"OSC-mathematica",35,7.499999999999988,1.0471975511965976,51,0.14817231487883537+0.2180590409774245*I,0.07223586420908336+1.722019064272947*^-7*I,-0.038168700091665064-5.841567850334804*^-8*I,0.04535125410888228+0.05188677499317151*I,-0.038168700091665286-3.922837773730036*^-8*I
"OSC-mathematica",35,7.599999999999987,1.0471975511965976,51,0.17107964870443682+0.2221234984034904*I,0.07475682591715734+2.1744130600693396*^-7*I,-0.039358697191256606-5.673536424320003*^-8*I,0.044686457696546826+0.049800560960229126*I,-0.0393586971912383-3.75493896930047*^-8*I
"OSC-mathematica",35,7.699999999999987,1.0471975511965976,51,0.19373060171145173+0.22368549532723028*I,0.07650533876627996+9.483271311801505*^-8*I,-0.04015420067444156-4.994009002837784*^-8*I,0.043858584212965596+0.047786347193489294*I,-0.040154200674455534-3.0067418828761694*^-8*I
"OSC-mathematica",35,7.7999999999999865,1.0471975511965976,51,0.21585723156541922+0.2228926574876076*I,0.07751674167623158+6.566716094536438*^-8*I,-0.04057567371911169-6.296498468519445*^-8*I,0.04288595497007806+0.04585739811320708*I,-0.040575673719111416-4.402517106337812*^-8*I
"OSC-mathematica",35,7.899999999999986,1.0471975511965976,51,0.2372253811719269+0.21991335603377188*I,0.07783802778159121+8.283221551103048*^-8*I,-0.04064728962875352-3.271736225639307*^-8*I,0.041785838901370075+0.044026911647873805*I,-0.04064728962874454-1.4608087879522678*^-8*I
"OSC-mathematica",35,7.999999999999986,1.0471975511965976,51,0.25763298622132397+0.21492765731769345*I,0.07751855425039311+1.267659593460402*^-7*I,-0.04039575993685836-4.643904747622018*^-8*I,0.040579305366895815+0.042302377494355975*I,-0.040395759936853425-2.6370596055753176*^-8*I
"OSC-mathematica",35,8.099999999999985,1.0471975511965976,51,0.27691395335495794+0.20812995073283833*I,0.07661399250081577+9.635182076878456*^-8*I,-0.03985079659198952-6.065081072105424*^-8*I,0.03928156822956481+0.04069088544195443*I,-0.0398507965919775-4.124242037711879*^-8*I
"OSC-mathematica",35,8.199999999999985,1.0471975511965976,51,0.29493449499926205+0.19971357695168349*I,0.07518431026851984+4.618506036715099*^-8*I,-0.03904218710762243-5.436784735855018*^-8*I,0.03791151896392057+0.03919745157353604*I,-0.03904218710763197-3.5225169853346496*^-8*I
