form,rtol,N,a,omega,phi,onsite,O-3,O-2,O-1,O,O+1,O+2,O+3,N1-3,N1-2,N1-1,N1+1,N1+2,N1+3,N2-2,N2-1,N2,N2+1,N2+2,N3-2,N3-1,N3+1,N3+2,N4-1,N4,N4+1,N5-1,N5+1,N6
SS-p,1e-11,51,15,7.4,0,0,(0.0004832199498974539-2.3844999111151386e-11j),(-0.007995752698856499-1.6473887258125588e-11j),(0.06463275607533307-1.3781002806610474e-11j),(-0.11417435157732628-1.1213578019081247e-10j),(0.0646327560768786-1.3781002806600255e-11j),(-0.007995752695377726-1.6473887258104036e-11j),(0.00048321995177340825-2.3844999111145537e-11j),(-0.9998005407445822-1.1202104691543378e-11j),(-0.9783617250533495-8.481753524504011e-12j),(-0.15187412020531102-8.058376746090178e-11j),(-0.15187412020483024+1.1681251216446086e-10j),(-0.9783617250508291+2.936470703452505e-12j),(-0.9998005407414308+1.1435335931370827e-11j),(0.003954866324507241-2.757619375434885e-11j),(-0.17193488536043022-3.004295790288716e-11j),(0.06463275607610407-4.775594268285513e-12j),(-0.17193488535969878+5.897181410608495e-11j),(0.003954866326236912+2.260719883037341e-11j),(0.00494761370192871-2.342588208914274e-11j),(0.021638274939987358-3.204784316899237e-11j),(0.021638274939896646-2.06294844557659e-11j),(0.004947613702483882+1.7551011843659403e-11j),(0.003954866325401051+1.2265654282596246e-11j),(-0.00799575269712262+4.752141287946166e-12j),(0.00019945924233504648-1.719513428682308e-11j),(0.00019945924232512213-3.9833435784270785e-11j),(0.021638274939987358-3.204784316899237e-11j),(0.00048321995082889696+1.1780975225634308e-12j)
SS-p,1e-11,51,15,7.5,0,0,(0.0004664193857912379-2.3732958794200492e-11j),(-0.007907264932355103-1.6809493066366513e-11j),(0.06915277539975108-1.3400552873747634e-11j),(-0.1233618538359931-1.0596540796225814e-10j),(0.06915277539986045-1.3400552873771787e-11j),(-0.007907264932313926-1.680949306643109e-11j),(0.0004664193860543897-2.3732958794267067e-11j),(-0.9998087011263227-1.2414225225455395e-11j),(-0.9788825433487399-1.0062334858927604e-11j),(-0.16657317479411587-8.046800171935113e-11j),(-0.16657317479432815+1.1505117672875716e-10j),(-0.9788825433520579+4.7463172435293505e-12j),(-0.9998087011321249+1.2624276936230051e-11j),(0.003970072592194894-2.770330543909545e-11j),(-0.17003207657578173-2.5962107949693094e-11j),(0.06915277539980656-1.0499382896758547e-11j),(-0.1700320765763667+6.01266569668105e-11j),(0.003970072592345396+2.222368184524345e-11j),(0.004783140371286634-2.597524488460256e-11j),(0.021117456641789635-1.6007913903871314e-11j),(0.021117456641818546-1.1992746307351942e-12j),(0.004783140370915007+1.9274950623623344e-11j),(0.003970072592225871+1.6735368282708611e-12j),(-0.007907264932335371-1.1360972037787147e-11j),(0.00019129885644058068-1.7445731130242272e-13j),(0.00019129885643971614-2.521283190117935e-11j),(0.021117456641789635-1.6007913903871314e-11j),(0.0004664193859192886-1.9699274405372026e-11j)
SS-p,1e-11,51,15,7.6,0,0,(0.00044965742000840784-2.377295549707662e-11j),(-0.007809822036999716-1.7214063967793152e-11j),(0.0734265935927887-1.3089234276291597e-11j),(-0.13207473506545625-9.997770563398004e-11j),(0.073426593597354-1.3089234276160468e-11j),(-0.007809822021151042-1.7214063967360553e-11j),(0.00044965744249989253-2.3772955496450567e-11j),(-0.9998166583352447-1.3115983305717326e-11j),(-0.9794014977719968-1.3073240258565295e-11j),(-0.18105611697575075-7.529927558841215e-11j),(-0.1810561169739689+1.1483332748261887e-10j),(-0.9794014977575963+4.97637392802868e-12j),(-0.9998166583035961+1.4032073984192518e-11j),(0.003975544321182285-2.6975388783743485e-11j),(-0.16809983183465602-2.2876310126662534e-11j),(0.07342659359507206+2.454435407571501e-11j),(-0.1680998318311116+5.813183260733758e-11j),(0.003975544331290202+2.2215777272601898e-11j),(0.004622481111684687-1.8656856361274232e-11j),(0.020598502227711594-5.450646196326111e-11j),(0.02059850222734373-3.645697430142625e-11j),(0.004622481115479235+2.888870754448371e-11j),(0.003975544326498445+7.82075488708475e-11j),(-0.007809822029074295+9.789334929586495e-11j),(0.00018334166649942277-7.509698304179494e-11j),(0.00018334166643662524-1.0224456964509662e-10j),(0.020598502227711594-5.450646196326111e-11j),(0.00044965743125394294+1.4770943515207097e-10j)
SS-p,1e-11,51,15,7.7,0,0,(0.00043303021279530134-2.3648962054451767e-11j),(-0.007704582770472234-1.7470428005296254e-11j),(0.07745962722176884-1.2768471773299934e-11j),(-0.14032170327388677-9.430881478232268e-11j),(0.07745962722287202-1.2768471773330012e-11j),(-0.007704582766665939-1.7470428005404126e-11j),(0.00043303022009318206-2.364896205466371e-11j),(-0.9998243991734213-1.4423651281181592e-11j),(-0.9799172771100212-1.3587613963498596e-11j),(-0.19532042165697286-7.797234976188031e-11j),(-0.19532042165691288+1.1131438215896267e-10j),(-0.979917277112292+7.655522714608652e-12j),(-0.9998243991794133+1.489782907876677e-11j),(0.003972196524083706-2.7742381699369373e-11j),(-0.16614344488718238-1.823425260411591e-11j),(0.07745962722231814-4.261379118817511e-12j),(-0.16614344488735255+5.942310399611387e-11j),(0.0039721965269102376+2.098173727057294e-11j),(0.004465731811710629-2.5061091007379325e-11j),(0.02008272288136282-7.934541257793106e-12j),(0.02008272288132381+1.3308907648109414e-11j),(0.004465731811853327+2.669558392098979e-11j),(0.003972196525464762+1.6852376040570427e-11j),(-0.007704582768572741+9.385657042527247e-12j),(0.00017560080981073446+2.7323887606663626e-11j),(0.0001756008097995635-1.9975082402330785e-12j),(0.02008272288136282-7.934541257793106e-12j),(0.0004330302164417637+1.732863786003843e-11j)
SS-p,1e-11,51,15,7.8,0,0,(0.00041661738389243204-2.3732200309745883e-11j),(-0.007592617914644572-1.7818168183818524e-11j),(0.08125787638696597-1.2544224992137484e-11j),(-0.14811277909640527-8.890900460996947e-11j),(0.08125787638679462-1.2544224992142534e-11j),(-0.007592617915311558-1.7818168183840063e-11j),(0.0004166173826516189-2.3732200309790806e-11j),(-0.9998319135434661-1.5454710135036518e-11j),(-0.9804287242802068-1.47527821058554e-11j),(-0.20936391192309428-7.867561097308389e-11j),(-0.20936391192313916+1.0819410610347997e-10j),(-0.9804287242805271+9.500884390381425e-12j),(-0.9998319135445024+1.5879672928045364e-11j),(0.003960887006794392-2.7296254886721727e-11j),(-0.16416776649656173-1.676419318483107e-11j),(0.08125787638688026-8.622560559755489e-12j),(-0.16416776649665896+5.57424561804693e-11j),(0.003960887006328365+2.0411075511265445e-11j),(0.004312970080151319-2.8339122037961354e-11j),(0.019571275712236106-9.359691798217912e-12j),(0.019571275712249453+1.489427047761871e-11j),(0.004312970080009657+2.644720608298825e-11j),(0.003960887006551012+7.008384154107825e-12j),(-0.007592617914979879-6.043169482527086e-12j),(0.00016808644244779825+2.963733071705998e-11j),(0.00016808644244949394-1.696435120076361e-12j),(0.019571275712236106-9.359691798217912e-12j),(0.00041661738326736954-6.622548424684604e-12j)
SS-p,1e-11,51,15,7.9,0,0,(0.000400484198306357-2.3678910352264625e-11j),(-0.007474913190294979-1.8035311140178377e-11j),(0.08482780711032446-1.2310660988939569e-11j),(-0.15545905820666217-8.389880392646793e-11j),(0.08482780711008611-1.2310660988951401e-11j),(-0.007474913191476695-1.803531114022644e-11j),(0.0004004841955306726-2.3678910352364372e-11j),(-0.9998391939050898-1.6387004862032165e-11j),(-0.9809348233935111-1.6103506410816675e-11j),(-0.22318476824543063-7.770199901153163e-11j),(-0.22318476824553357+1.0458837012931178e-10j),(-0.9809348233943681+1.1024822473307637e-11j),(-0.9998391939074439+1.6807773214136696e-11j),(0.003942417246468221-2.6376293095142052e-11j),(-0.1621772411002767-1.5512978604350146e-11j),(0.08482780711020801-7.487411427440135e-12j),(-0.16217724110048823+5.231155713392224e-11j),(0.003942417245603544+1.994054855680825e-11j),(0.004164255282116401-3.047148033283789e-11j),(0.019065176598810123-1.7019287772265602e-11j),(0.019065176598828813+1.0108648279662835e-11j),(0.00416425528181096+2.69108642458916e-11j),(0.003942417246021858+8.60129619346142e-12j),(-0.007474913190878125-4.821263046362935e-12j),(0.00016080608045022514+1.455908527942397e-11j),(0.0001608060804583998-1.8636442070218807e-11j),(0.019065176598810123-1.7019287772265602e-11j),(0.00040048419693055714-6.209063841681807e-12j)
SS-p,1e-11,51,15,8.0,0,0,(0.0003846834321889959-2.373318374239993e-11j),(-0.0073523728795265465-1.8302661387334995e-11j),(0.08817624843688668-1.2133209791099958e-11j),(-0.16237250163525793-7.937896243740488e-11j),(0.0881762484369033-1.213320979109991e-11j),(-0.007352372879447475-1.8302661387333893e-11j),(0.0003846834323245566-2.37331837423977e-11j),(-0.9998462350771198-1.727437492054216e-11j),(-0.9814346878698017-1.744433733028148e-11j),(-0.23678153250708428-7.698105525091209e-11j),(-0.23678153250707906+1.0210000476449409e-10j),(-0.9814346878697942+1.2628241131038083e-11j),(-0.9998462350770729+1.776968284420395e-11j),(0.003917533789143921-2.613242856747059e-11j),(-0.16017593946994357-1.3460886478457969e-11j),(0.0881762484368941-7.705750953500193e-12j),(-0.16017593946993722+4.980158705211684e-11j),(0.003917533789205459+1.952740392283492e-11j),(0.004019628979849173-3.1545091647672235e-11j),(0.018565312123088762-1.7897940597238026e-11j),(0.018565312123087655+1.2174094661873462e-11j),(0.004019628979858421+2.79160604187907e-11j),(0.003917533789168238+8.485247788712359e-12j),(-0.007352372879494296-5.8771693681834664e-12j),(0.00015376490986043745+1.5883370600136305e-11j),(0.0001537649098590885-1.91643404905896e-11j),(0.018565312123088762-1.7897940597238026e-11j),(0.000384683432242149-6.77036416060052e-12j)
SS-p,1e-11,51,15,8.1,0,0,(0.0003692570526072954-2.376038505351895e-11j),(-0.007225823833087723-1.8522791439825347e-11j),(0.09131030259886679-1.1974146622663873e-11j),(-0.16886575103640766-7.50986881311988e-11j),(0.09131030259874494-1.1974146622664517e-11j),(-0.007225823833533435-1.8522791439829367e-11j),(0.00036925705190248736-2.376038505352607e-11j),(-0.999853033917167-1.8045955891206844e-11j),(-0.9819275493280782-1.8448732941749496e-11j),(-0.2501531074639078-7.68484388086856e-11j),(-0.25015310746393365+1.0029035051683088e-10j),(-0.9819275493281531+1.381533551317717e-11j),(-0.9998530339174062+1.8570476705106665e-11j),(0.0038869300745355082-2.5697396798184648e-11j),(-0.15816758793392327-1.184809417705489e-11j),(0.09131030259880597-7.510093697006641e-12j),(-0.15816758793396998+4.756444389134648e-11j),(0.0038869300742188162+1.9002329476221155e-11j),(0.00387911569900046-3.3744103353191124e-11j),(0.018072450664889897-1.8966146673522804e-11j),(0.018072450664897537+1.3297551082205765e-11j),(0.003879115698931715+2.9985722432092544e-11j),(0.003886930074378031+8.672302535445184e-12j),(-0.0072258238333087815-6.3189072862251065e-12j),(0.00014696606990021832+1.6783626640367327e-11j),(0.00014696606990167397-1.9832382272705993e-11j),(0.018072450664889897-1.8966146673522804e-11j),(0.0003692570522601329-7.59428218287591e-12j)
SS-p,1e-11,51,15,8.2,0,0,(0.00035423770153317896-2.371456912723021e-11j),(-0.00709601972206129-1.86865697974232e-11j),(0.09423726674555619-1.1827078383078626e-11j),(-0.17495196631574444-7.144386198422337e-11j),(0.09423726674556668-1.1827078383078624e-11j),(-0.007096019722021728-1.868656979742549e-11j),(0.000354237701610425-2.3714569127235573e-11j),(-0.9998595890701588-1.8819040463932836e-11j),(-0.9824127472776709-1.9685611631003642e-11j),(-0.263298752301215-7.611895106878932e-11j),(-0.2632987523012132+9.837657296353136e-11j),(-0.9824127472776848+1.5189751772285805e-11j),(-0.9998595890702386+1.9412286937472328e-11j),(0.003851248554240661-2.5234099118637566e-11j),(-0.15615559472724896-9.672791919585483e-12j),(0.09423726674556275-6.942399878307049e-12j),(-0.15615559472724813+4.5299387326470775e-11j),(0.00385124855427238+1.850649120155543e-11j),(0.003742723925973607-3.466648567301807e-11j),(0.017587252715483167-1.9702733967139124e-11j),(0.017587252715483354+1.5172388604136957e-11j),(0.003742723925975034+3.1413694573415363e-11j),(0.003851248554257924+9.94792303668435e-12j),(-0.007096019722036445-5.127619192597989e-12j),(0.00014041091728384057+1.9429620434180174e-11j),(0.00014041091728463377-1.880047817359682e-11j),(0.017587252715483167-1.9702733967139124e-11j),(0.0003542377015796227-5.218795584337142e-12j)
SS-p,1e-11,51,15,8.3,0,0,(0.0003396500171849904-2.3914445439038503e-11j),(-0.006963645406846894-1.8960350099107805e-11j),(0.09696456495060735-1.1771752144503642e-11j),(-0.18064468327951122-6.789059912357233e-11j),(0.09696456495062365-1.1771752144504353e-11j),(-0.006963645406844013-1.8960350099111052e-11j),(0.0003396500170994048-2.391444543904564e-11j),(-0.9998659007291099-1.995322796305755e-11j),(-0.9828897195236793-2.1398556101826782e-11j),(-0.2762180748578327-7.602320773846438e-11j),(-0.27621807485783634+9.694191367359759e-11j),(-0.9828897195237333+1.709921113910393e-11j),(-0.999865900729253+2.058281039211133e-11j),(0.0038110830059873034-2.4554058885178725e-11j),(-0.15414307386431372-6.579404675578572e-12j),(0.09696456495061465-6.4087739776808e-12j),(-0.15414307386431814+4.1481432544880014e-11j),(0.0038110830059828807+1.77440104459419e-11j),(0.0036104472415222247-3.546924753234386e-11j),(0.017110280469516896-2.2142526464059305e-11j),(0.017110280469515998+1.6354156188581963e-11j),(0.003610447241511554+3.2258123337239477e-11j),(0.0038110830059878437+1.2071296631615352e-11j),(-0.0069636454068415345-3.71190448322401e-12j),(0.00013409925841086014+1.8945768652320175e-11j),(0.00013409925841213234-2.158896807634626e-11j),(0.017110280469516896-2.2142526464059305e-11j),(0.00033965001715534636-2.2171847410627254e-12j)
SS-p,1e-11,51,15,8.4,0,0,(0.0003255117908031247-2.3702972352662415e-11j),(-0.006829321329986912-1.898166961307958e-11j),(0.09949968934180031-1.157867975935057e-11j),(-0.18595768922819536-6.460479535813144e-11j),(0.09949968934178374-1.1578679759350095e-11j),(-0.006829321330069357-1.8981669613077547e-11j),(0.000325511790670822-2.3702972352659112e-11j),(-0.9998719704197755-2.0337986066431807e-11j),(-0.9833579932596475-2.1850304859397784e-11j),(-0.2889110210973903-7.389097642639665e-11j),(-0.2889110210974007+9.332082600466068e-11j),(-0.9833579932596084+1.792189853199976e-11j),(-0.9998719704196211+2.1025740660823464e-11j),(0.0037669809695947943-2.3860500708965307e-11j),(-0.15213286689341923-5.6415326999547365e-12j),(0.099499689341795-7.557064658297884e-12j),(-0.15213286689342026+3.946410932765118e-11j),(0.0037669809695270264+1.68832416563318e-11j),(0.003482265548714493-3.693671436571302e-11j),(0.016642006733791414-2.134665383917926e-11j),(0.016642006733789516+1.842535873755062e-11j),(0.003482265548722885+3.331069059800349e-11j),(0.0037669809695668162+9.157299150472426e-12j),(-0.006829321330021187-8.34813447012539e-12j),(0.0001280295682655507+2.235582027448144e-11j),(0.00012802956826826642-1.9004629699862636e-11j),(0.016642006733791414-2.134665383917926e-11j),(0.0003255117907475422-1.0857105426058318e-11j)
SS-p,1e-11,51,15,8.5,0,0,(0.00031183498076200057-2.3895863719492595e-11j),(-0.006693607858720697-1.9215271545160107e-11j),(0.10185014934545492-1.1552038199117361e-11j),(-0.19090491462521536-6.166471220549914e-11j),(0.10185014934543346-1.155203819911748e-11j),(-0.006693607858758111-1.921527154516118e-11j),(0.0003118349806825383-2.389586371949461e-11j),(-0.9998778008047542-2.1319473497212143e-11j),(-0.9838171767912418-2.315429658431867e-11j),(-0.3013778623227517-7.436630662290487e-11j),(-0.30137786232275576+9.277471077153157e-11j),(-0.9838171767912675+1.9295809141536133e-11j),(-0.9998778008048205+2.205150193016457e-11j),(0.0037194462448878465-2.3432504097811614e-11j),(-0.15012756279383999-4.298501401444262e-12j),(0.10185014934544386-6.387445852254729e-12j),(-0.15012756279385145+3.760810591746721e-11j),(0.0037194462448711936+1.65213429283009e-11j),(0.0033581463459903555-3.928759369529096e-11j),(0.016182823202235994-2.385510547356113e-11j),(0.016182823202237916+1.8594575641825627e-11j),(0.0033581463459797212+3.595256985961308e-11j),(0.0037194462448770144+1.2444529642547221e-11j),(-0.006693607858742826-4.810320217259318e-12j),(0.00012219918331743255+2.0385227576490278e-11j),(0.00012219918331697523-2.2986254541385406e-11j),(0.016182823202235994-2.385510547356113e-11j),(0.00031183498071362694-4.296631847375808e-12j)
SS-p,1e-11,51,15,8.6,0,0,(0.0002986266048486328-2.37573282338063e-11j),(-0.006557009526575586-1.9260791427217345e-11j),(0.10402342813430113-1.1423736796007388e-11j),(-0.19550033917042228-5.908209666129321e-11j),(0.10402342813433102-1.1423736796006664e-11j),(-0.006557009526513228-1.9260791427214906e-11j),(0.00029862660492985764-2.3757328233801536e-11j),(-0.9998833955101081-2.1844955092094796e-11j),(-0.9842669518626703-2.3992200515030737e-11j),(-0.3136191806137198-7.376567088136069e-11j),(-0.31361918061371485+9.115337832870035e-11j),(-0.984266951862628+2.0421896214176898e-11j),(-0.9998833955099723+2.2632563811014466e-11j),(0.003668941404346419-2.2151898493400145e-11j),(-0.1481295162824722-1.394051619672157e-12j),(0.1040234281343177-6.862629441357419e-12j),(-0.14812951628245544+3.400648970739579e-11j),(0.003668941404377915+1.5114222166817143e-11j),(0.0032380459982495197-4.0673351788716594e-11j),(0.015733048131006108-2.376643077773881e-11j),(0.015733048131004103+2.0647535304746553e-11j),(0.003238045998271715+3.743465364772285e-11j),(0.003668941404363892+1.2069244679092265e-11j),(-0.006557009526541363-6.844982225378833e-12j),(0.00011660447838350769+2.3340370331228896e-11j),(0.00011660447838356992-2.1135748899673712e-11j),(0.015733048131006108-2.376643077773881e-11j),(0.00029862660489206376-7.752710470268437e-12j)
SS-p,1e-11,51,15,8.7,0,0,(0.0002858895149763755-2.3850728931522222e-11j),(-0.006419979127333568-1.94260012356116e-11j),(0.10602694547424431-1.1403066543159725e-11j),(-0.19975791075492905-5.6557569088744636e-11j),(0.10602694547422203-1.1403066543159404e-11j),(-0.006419979127353603-1.9426001235611198e-11j),(0.00028588951496685643-2.3850728931521644e-11j),(-0.9998887589666301-2.239597308564475e-11j),(-0.9847070665474305-2.4903779637694572e-11j),(-0.32563585289013164-7.164170037824179e-11j),(-0.3256358528901436+8.811374829983744e-11j),(-0.9847070665474422+2.148859108735231e-11j),(-0.9998887589666032+2.3238287347194663e-11j),(0.0036158902909953685-2.1875201249426344e-11j),(-0.14614086468390342-9.362430420619223e-15j),(0.10602694547423554-6.572870679567364e-12j),(-0.14614086468391452+3.183634094911499e-11j),(0.0036158902909962645+1.4789315967394186e-11j),(0.003121910997350368-4.074691776090219e-11j),(0.01529293344630844-2.4979578725702256e-11j),(0.015292933446307841+2.1412359940269707e-11j),(0.003121910997354335+3.7569276075616866e-11j),(0.0036158902910013017+1.3261015141063329e-11j),(-0.006419979127336302-5.933965974604757e-12j),(0.00011124102196724247+2.3071971547179198e-11j),(0.00011124102196860639-2.256186569767854e-11j),(0.01529293344630844-2.4979578725702256e-11j),(0.000285889514983187-5.304589192642661e-12j)
SS-p,1e-11,51,15,8.8,0,0,(0.00027362307455493706-2.400796187846264e-11j),(-0.006282921651249435-1.966077070586557e-11j),(0.10786802624870077-1.1388136764441742e-11j),(-0.20369147594171955-5.436818054047051e-11j),(0.10786802624871374-1.1388136764440673e-11j),(-0.006282921651239823-1.9660770705861643e-11j),(0.0002736230746052137-2.4007961878454746e-11j),(-0.9998938962668479-2.335908906431444e-11j),(-0.9851373286696155-2.6395629644914025e-11j),(-0.33742903398263907-7.196157339443351e-11j),(-0.33742903398262475+8.775387337523244e-11j),(-0.9851373286695306+2.3165344942920567e-11j),(-0.9998938962666435+2.4261064086421325e-11j),(0.003560680462595201-2.069325463696407e-11j),(-0.14416354356031663+3.8775163012188746e-12j),(0.10786802624870385-6.3496916597083926e-12j),(-0.1441635435602976+2.747019615302995e-11j),(0.003560680462583156+1.3367312498939644e-11j),(0.003009679166475855-4.220135995940332e-11j),(0.014862671324244802-2.6216409324332583e-11j),(0.014862671324246445+2.3344253931343816e-11j),(0.0030096791664955772+3.9245911125377884e-11j),(0.00356068046258952+1.5125815887972615e-11j),(-0.0062829216512486985-5.438644401135248e-12j),(0.00010610372197747669+2.4836494018967507e-11j),(0.0001061037219744084-2.2783221453648165e-11j),(0.014862671324244802-2.6216409324332583e-11j),(0.00027362307458344236-4.263078118796114e-12j)
SS-p,1e-11,51,15,8.9,0,0,(0.000261823745110525-2.3790542218295373e-11j),(-0.006146198023146599-1.9561249202611253e-11j),(0.109553874029073-1.1285089937428729e-11j),(-0.20731472072062818-5.219639532901746e-11j),(0.10955387402907761-1.1285089937428565e-11j),(-0.006146198023149958-1.9561249202611463e-11j),(0.00026182374505044685-2.3790542218296126e-11j),(-0.9998988130449664-2.3577092391342876e-11j),(-0.9855575997240429-2.6651713530578237e-11j),(-0.34900013902582633-7.075469971460545e-11j),(-0.34900013902581845+8.553066359247061e-11j),(-0.9855575997240331+2.3625317467657766e-11j),(-0.9998988130449693+2.450669741789054e-11j),(0.0035036655762765356-1.9531916258039354e-11j),(-0.14219930118861868+4.568980470885751e-12j),(0.10955387402907493-6.448049737805822e-12j),(-0.1421993011886156+2.576885491232631e-11j),(0.003503665576267863+1.2385461091862621e-11j),(0.0029012808293523594-4.3629264491021e-11j),(0.014442400269957432-2.6652742778511715e-11j),(0.014442400269960347+2.362455765861847e-11j),(0.002901280829349182+4.064457613186298e-11j),(0.003503665576272362+1.5426961481713776e-11j),(-0.0061461980231492745-6.0406069388706975e-12j),(0.00010118694410531223+2.4573723894876017e-11j),(0.00010118694410250414-2.3510522594937893e-11j),(0.014442400269957432-2.6652742778511715e-11j),(0.00026182374508015074-5.407380901203827e-12j)
SS-p,1e-11,51,15,9.0,0,0,(0.0002504855964697882-2.3956101590929847e-11j),(-0.006010128651884716-1.981009284740869e-11j),(0.11109154909109326-1.1293187496217766e-11j),(-0.21064112044587607-5.04001992236734e-11j),(0.1110915490910972-1.1293187496216756e-11j),(-0.006010128651839786-1.9810092847405898e-11j),(0.00025048559658133365-2.395610159092443e-11j),(-0.9999035153575951-2.4049832511122762e-11j),(-0.985967789269624-2.7410443199786034e-11j),(-0.3603508254717909-6.99087010912961e-11j),(-0.36035082547178254+8.414203826048042e-11j),(-0.9859677892695724+2.4534779881968152e-11j),(-0.9999035153574545+2.5026014991224997e-11j),(0.0034451676871911463-1.9261306385810703e-11j),(-0.14024971204068226+6.5821664617101205e-12j),(0.11109154909109392-6.310536587463993e-12j),(-0.14024971204067233+2.3250020629548807e-11j),(0.0034451676872286167+1.1840606981570477e-11j),(0.0027966398995841225-4.4313364479388327e-11j),(0.01403221072445473-2.7198899630885194e-11j),(0.01403221072445581+2.4746293107880347e-11j),(0.002796639899604309+4.140147534923144e-11j),(0.0034451676872084237+1.615514036535171e-11j),(-0.006010128651865251-5.903688308741529e-12j),(9.64846316610661e-05+2.5568055615193958e-11j),(9.648463165835147e-05-2.3507768725084985e-11j),(0.01403221072445473-2.7198899630885194e-11j),(0.0002504855965213097-5.0795823364399505e-12j)
SS-p,1e-11,51,15,9.1,0,0,(0.000239600747845043-2.393127692795661e-11j),(-0.005874996770549077-1.981714952942439e-11j),(0.1124879503802261-1.128418112700941e-11j),(-0.21368389793341563-4.8475225998760425e-11j),(0.11248795038025418-1.1284181127009312e-11j),(-0.005874996770548273-1.9817149529424338e-11j),(0.0002396007477492661-2.3931276927955805e-11j),(-0.9999080095922851-2.499882770018475e-11j),(-0.9863678497679992-2.887972034740121e-11j),(-0.37148297495162524-6.951580216578627e-11j),(-0.3714829749516327+8.29580013714263e-11j),(-0.986367849768033+2.6197296749762802e-11j),(-0.9999080095922902+2.6004426114578502e-11j),(0.0033854794573867078-1.7761062784810028e-11j),(-0.13831618933229353+9.725318164885379e-12j),(0.11248795038024033-6.269011554981444e-12j),(-0.13831618933228926+1.9117005947787195e-11j),(0.003385479457370539+1.0429826381124756e-11j),(0.0026956748997902335-4.5334948151615343e-11j),(0.01363215022615769-2.9071866486338154e-11j),(0.01363215022615214+2.6004314420441497e-11j),(0.002695674899783502+4.2232081266969737e-11j),(0.0033854794573763085+1.7508102853511028e-11j),(-0.005874996770548467-5.935315376890308e-12j),(9.199039710704963e-05+2.5654300139915562e-11j),(9.199039711188582e-05-2.5348472315965492e-11j),(0.01363215022615769-2.9071866486338154e-11j),(0.00023960074779600144-5.1146455642418866e-12j)
SS-p,1e-11,51,15,9.2,0,0,(0.00022915974564523817-2.384305256155238e-11j),(-0.005741051579895483-1.9847832508152027e-11j),(0.1137498009471896-1.1222615774665058e-11j),(-0.2164559888008562-4.700593465209195e-11j),(0.11374980094721997-1.1222615774663874e-11j),(-0.005741051579799088-1.9847832508147604e-11j),(0.00022915974583581067-2.3843052561543995e-11j),(-0.9999123023787189-2.570148612103673e-11j),(-0.9867577718357233-2.961840919951484e-11j),(-0.3823986751973013-6.864766750460064e-11j),(-0.38239867519728066+8.147936443420184e-11j),(-0.986757771835621+2.7084589928695634e-11j),(-0.9999123023784839+2.674127233153021e-11j),(0.003324866260336051-1.727511520148292e-11j),(-0.13639999673114592+1.0204806908811228e-11j),(0.11374980094720161-6.276277677611291e-12j),(-0.13639999673111528+1.800549562796176e-11j),(0.003324866260398132+9.944651551780605e-12j),(0.002598299909868266-4.712355242333087e-11j),(0.013242228158633856-3.000875609670859e-11j),(0.01324222815863658+2.6694874987104613e-11j),(0.0025982999099079937+4.393573003242279e-11j),(0.003324866260366774+1.7825436040811343e-11j),(-0.005741051579851485-6.063851528410302e-12j),(8.769761106981896e-05+2.579035180186938e-11j),(8.769761106234186e-05-2.6656153626950266e-11j),(0.013242228158633856-3.000875609670859e-11j),(0.0002291597457403606-5.0589164079103286e-12j)
SS-p,1e-11,51,15,9.3,0,0,(0.00021915189267383562-2.401996916491784e-11j),(-0.005608511179736984-2.0087213993222796e-11j),(0.11488363645006437-1.1267707374438361e-11j),(-0.21897001323787607-4.562739481123086e-11j),(0.11488363645002678-1.126770737443846e-11j),(-0.005608511179804648-2.0087213993223555e-11j),(0.0002191518925900745-2.401996916491922e-11j),(-0.9999164005107627-2.5670770291103995e-11j),(-0.9871375798824744-2.990487158687324e-11j),(-0.39310020220962394-6.711996450930393e-11j),(-0.393100202209626+7.941416983158215e-11j),(-0.9871375798824786+2.754900362666136e-11j),(-0.9999164005108052+2.6768275753281713e-11j),(0.0032635681897934207-1.6830936145876722e-11j),(-0.13450225928110285+1.26352489724232e-11j),(0.11488363645004827-6.453400023285057e-12j),(-0.1345022592811186+1.4858342911485843e-11j),(0.0032635681897567066+9.148313965234862e-12j),(0.0025044254455310094-4.7196374514584034e-11j),(0.012862420111874197-2.992475453349149e-11j),(0.0128624201118776+2.7530831169972196e-11j),(0.0025044254455193144+4.416505437350931e-11j),(0.003263568189775951+1.8359955574521666e-11j),(-0.005608511179769971-6.5549459859071056e-12j),(8.359947896338562e-05+2.662150520100899e-11j),(8.359947896307185e-05-2.581899160990712e-11j),(0.012862420111874197-2.992475453349149e-11j),(0.00021915189262723282-5.523498323249079e-12j)
