a,omega,phi,N,localisation,hopping,onsite,next onsite,NNN,NNN overtop
5.0,3.7,0.0,51.0,0.22209172192286358,0.08822215393035024,-0.4100521042524383,0.3345585376792454,0.3292926860964488,-0.3345585376791812
5.0,3.7,0.4487989505128276,51.0,0.23547544426108197,0.0496681323948643,-0.3369642898365248,0.3460607181683733,0.27871024955920476,-0.34606071816827366
5.0,3.7,0.5235987755982988,51.0,0.23701622453820304,0.03677025529666863,-0.316690445489909,0.34944353135392153,0.26306420713453715,-0.3494435313539332
5.0,3.7,0.6283185307179586,51.0,0.2386716045320911,0.01658601660217984,-0.28858592839686426,0.3536049715598923,0.23977693327577668,-0.3536049715599218
5.0,3.7,0.7853981633974483,51.0,0.2399641231487904,-0.01668947515700403,-0.25076288590813905,0.35633956890784474,0.20442236024656998,-0.35633956890784674
5.0,3.7,1.0471975511965976,51.0,0.2388877466911824,-0.037571869602634686,-0.07412543658773162,0.24401584203215698,0.13221599377747645,-0.24401584203213017
5.0,3.7,1.5707963267948966,51.0,0.22716307274490405,-0.09739261406506082,1.1060885390067055e-07,2.2430415581864427e-07,2.991537032189353e-08,-2.2430420838770448e-07
5.0,3.8,0.0,51.0,0.2040860002615295,0.11175130293140173,-0.4515887339295641,0.3651542150326985,0.3755445551664704,-0.36515421503270595
5.0,3.8,0.4487989505128276,51.0,0.21488483025842064,0.0748418026314469,-0.36001137202280153,0.3769313482139701,0.31773054951605323,-0.3769313482139338
5.0,3.8,0.5235987755982988,51.0,0.21604731528312496,0.062126776910665704,-0.33535173036050037,0.3799478945264856,0.299855881866963,-0.3799478945265075
5.0,3.8,0.6283185307179586,51.0,0.2172360898984712,0.041892951908880316,-0.3019803624611695,0.38328482745025955,0.2732563317898386,-0.3832848274502681
5.0,3.8,0.7853981633974483,51.0,0.21799380903845253,0.007698743628285062,-0.2593401103258192,0.38426627550555265,0.23284897824339415,-0.3842662755055951
5.0,3.8,1.0471975511965976,51.0,0.21653310073527568,-0.05165178958324853,-0.15487150247167555,0.31873708627176384,0.16905013091252372,-0.3187370862717968
5.0,3.8,1.5707963267948966,51.0,0.2060469999887783,-0.0978487914978519,4.172559117391803e-07,1.9303524187615217e-07,5.484326092711571e-07,-1.9303528058477182e-07
5.0,3.9,0.0,51.0,0.18934428652822732,0.1437225250855673,-0.4874581208001947,0.3829570499609694,0.3929772014570803,-0.3829570499609831
5.0,3.9,0.4487989505128276,51.0,0.1981072703080228,0.10708703050920362,-0.3854205930435915,0.3938922647628727,0.33274261481685136,-0.39389226476286726
5.0,3.9,0.5235987755982988,51.0,0.19898883258235428,0.09427973622785715,-0.3582941616856776,0.3963543388016907,0.314132566771093,-0.396354338801677
5.0,3.9,0.6283185307179586,51.0,0.19984103079956547,0.0737363018596361,-0.3220026902299802,0.3986836076560488,0.2864464610019997,-0.3986836076560134
5.0,3.9,0.7853981633974483,51.0,0.20023766588495145,0.0386467366426373,-0.276880613479567,0.39776940580846754,0.24441042753975306,-0.39776940580847076
5.0,3.9,1.0471975511965976,51.0,0.1986022908039013,-0.023103933471041543,-0.17221299756084793,0.3328246752129088,0.17864284654865392,-0.33282467521291204
5.0,3.9,1.5707963267948966,51.0,0.18924149136361906,-0.0803029864028859,4.836382479259614e-07,3.244526506150213e-07,4.952838597303052e-07,-3.2445264497624844e-07
5.0,4.0,0.0,51.0,0.17771720412746805,0.1846772954408921,-0.5219177159070101,0.3902880425769712,0.3930520067625296,-0.3902880425769466
5.0,4.0,0.4487989505128276,51.0,0.18473507102144882,0.13439152470908258,-0.4476873703997169,0.4147976175391991,0.33353139521391895,-0.41479761753922256
5.0,4.0,0.5235987755982988,51.0,0.1853842779646793,0.11755348528583502,-0.42794536565057173,0.42090588837546344,0.31514138034385103,-0.4209058883754923
5.0,4.0,0.6283185307179586,51.0,0.18596077849532305,0.09121718286812176,-0.4014837728982974,0.42819800329041097,0.28777076463831025,-0.4281980032904075
5.0,4.0,0.7853981633974483,51.0,0.1860720789450861,0.07482988934049714,-0.2524076809515328,0.35652602060480654,0.2430962381100953,-0.3565260206048322
5.0,4.0,1.0471975511965976,51.0,0.18433923471848968,0.009944688042542758,-0.19555956646090086,0.3362811708605857,0.1809146829700255,-0.3362811708605877
5.0,4.0,1.5707963267948966,51.0,0.17613606032592016,-0.050297100688317636,4.761398218000937e-07,3.1390556451833243e-07,6.077848914796263e-07,-3.139055613633041e-07
5.0,4.1,0.0,51.0,0.1701019902293565,0.22567748811674648,-0.5477505923931122,0.3921864993406669,0.3828229908247754,-0.3921864993406816
5.0,4.1,0.4487989505128276,51.0,0.17583812690715522,0.17233032961874592,-0.47281907369391846,0.4170320468861822,0.32821051563633064,-0.4170320468861727
5.0,4.1,0.5235987755982988,51.0,0.17629892058811497,0.15445451614789835,-0.45289235173260567,0.42329061950874625,0.3113098508429408,-0.42329061950872676
5.0,4.1,0.6283185307179586,51.0,0.17664615793568428,0.12959346140627193,-0.4274223293691887,0.4292384162381339,0.28383112518683207,-0.42923841623812875
5.0,4.1,0.7853981633974483,51.0,0.17649855633148168,0.08517592318358634,-0.3485062065264612,0.3966996175380559,0.24150420037495202,-0.39669961753802463
5.0,4.1,1.0471975511965976,51.0,0.1746325258538768,0.04736580031489593,-0.2203432591233036,0.3360997021918295,0.18002965043046495,-0.33609970219178303
5.0,4.1,1.5707963267948966,51.0,0.16727346278805766,-0.019076566613503515,4.647490116026741e-07,2.680778901195842e-07,5.561320415724182e-07,-2.6807790277070566e-07
5.0,4.2,0.0,51.0,0.1648952161332516,0.26493829775107874,-0.5671633850507285,0.3922681195819612,0.37124602070102963,-0.3922681195819826
5.0,4.2,0.4487989505128276,51.0,0.1700005627936446,0.21082224687304427,-0.49340252493806536,0.4159966762214268,0.31995931214971185,-0.41599667622145414
5.0,4.2,0.5235987755982988,51.0,0.17038286010470444,0.1927158937115967,-0.4495458841101697,0.39770748684521817,0.3026339196430475,-0.3977074868452288
5.0,4.2,0.6283185307179586,51.0,0.17063811785963762,0.16439142404304408,-0.4150706224553113,0.40006109555999647,0.2783587480136088,-0.400061095560023
5.0,4.2,0.7853981633974483,51.0,0.17039980008885042,0.11776922263917505,-0.37024838239052227,0.40178938775169987,0.2412052726103618,-0.4017893877517257
5.0,4.2,1.0471975511965976,51.0,0.16846402953328166,0.049222499268257065,-0.32837939101257896,0.38928266313193616,0.17839271920410754,-0.3892826631319257
5.0,4.2,1.5707963267948966,51.0,0.1611696120370749,0.01658195771529311,3.962147166714728e-07,2.2624224294410904e-07,6.739454890071203e-07,-2.2624225861798616e-07
5.0,4.3,0.0,51.0,0.16113618326331014,0.30266475216801786,-0.5813803724304009,0.3907157404459283,0.35900555913907484,-0.3907157404458751
5.0,4.3,0.4487989505128276,51.0,0.16560264984273382,0.24786446618983848,-0.4911782198973382,0.39641472029266356,0.309992209384702,-0.39641472029265157
5.0,4.3,0.5235987755982988,51.0,0.1659166003510645,0.2295499047102969,-0.4665798990932056,0.3983489741837172,0.2947176318034981,-0.3983489741837303
5.0,4.3,0.6283185307179586,51.0,0.16610054466513433,0.2009163535469097,-0.4330440452705075,0.4008631769260711,0.27184080021174134,-0.400863176926065
5.0,4.3,0.7853981633974483,51.0,0.1658132195211249,0.15382216774126922,-0.3897368285972654,0.4026180746754224,0.2366300506825325,-0.4026180746754311
5.0,4.3,1.0471975511965976,51.0,0.1639473508082021,0.08499474982552803,-0.28051141299021887,0.32620915062876965,0.1703663634938463,-0.32620915062872474
5.0,4.3,1.5707963267948966,51.0,0.15716865218212872,0.03715064621042671,4.2699336980583187e-07,2.2858971190919952e-07,7.251347534187547e-07,-2.285897241314106e-07
5.0,4.4,0.0,51.0,0.1583316880257158,0.3388254390727819,-0.5911623734980507,0.3877331995032428,0.34643736436263917,-0.387733199503247
5.0,4.4,0.4487989505128276,51.0,0.1621965354445361,0.2738065250766252,-0.5359014398379496,0.4111423296014468,0.30044234512632056,-0.4111423296014406
5.0,4.4,0.5235987755982988,51.0,0.16243312859475895,0.2525526861053196,-0.5206738203081225,0.4181303576617887,0.2860530669904029,-0.4181303576617931
5.0,4.4,0.6283185307179586,51.0,0.16253133749432025,0.23652299631258783,-0.4471844562043081,0.3992741064959191,0.2644398096741491,-0.39927410649593903
5.0,4.4,0.7853981633974483,51.0,0.1621731633880986,0.18925417683813914,-0.40551247475091806,0.40094368766337973,0.23098555987143687,-0.4009436876633836
5.0,4.4,1.0471975511965976,51.0,0.16033612119738858,0.11077045863170681,-0.29591273334485135,0.33320658010420745,0.17534199787430776,-0.3332065801041983
5.0,4.4,1.5707963267948966,51.0,0.15406632408710902,0.0298323352403336,5.322038714885126e-07,1.627354741344511e-07,6.735607322052598e-07,-1.6273547361446775e-07
5.0,4.5,0.0,51.0,0.15617775728035724,0.3733621668327692,-0.5971294947029266,0.3835260362680348,0.33376596844351636,-0.3835260362680496
